"Time","breastfeeding","baby food","weaning","infant formula","childhood development","toddler nutrition","maternal nutrition","prenatal nutrition"
"2021-06-01",53,23,8,1,1,0,0,0
"2021-07-01",53,23,8,1,1,0,0,0
"2021-08-01",56,21,8,1,1,0,0,0
"2021-09-01",52,20,7,1,2,0,0,0
"2021-10-01",55,21,8,1,2,0,0,0
"2021-11-01",51,20,7,1,2,0,0,0
"2021-12-01",52,20,7,1,2,0,0,0
"2022-01-01",55,22,9,2,2,0,0,0
"2022-02-01",52,23,9,3,3,0,0,0
"2022-03-01",52,22,9,2,3,0,0,0
"2022-04-01",51,22,8,2,2,0,0,0
"2022-05-01",52,24,8,7,2,0,0,0
"2022-06-01",55,23,8,3,2,0,0,0
"2022-07-01",52,23,8,2,1,0,0,0
"2022-08-01",56,22,8,2,2,0,0,0
"2022-09-01",51,19,7,2,3,0,0,0
"2022-10-01",51,20,7,2,3,0,0,0
"2022-11-01",50,19,7,2,2,0,0,0
"2022-12-01",53,20,7,2,2,0,0,0
"2023-01-01",54,22,8,2,2,0,0,0
"2023-02-01",53,20,8,2,2,0,0,0
"2023-03-01",50,21,8,2,3,0,0,0
"2023-04-01",49,21,7,1,2,0,0,0
"2023-05-01",50,21,7,1,2,0,0,0
"2023-06-01",50,21,7,2,2,0,0,0
"2023-07-01",52,21,7,1,1,0,0,0
"2023-08-01",57,20,7,2,2,0,0,0
"2023-09-01",51,20,7,2,2,0,0,0
"2023-10-01",51,19,7,2,3,0,0,0
"2023-11-01",49,19,6,2,2,0,0,0
"2023-12-01",53,19,6,1,2,0,0,0
"2024-01-01",53,20,7,2,2,0,0,0
"2024-02-01",54,19,7,2,3,0,0,0
"2024-03-01",53,20,7,2,3,0,0,0
"2024-04-01",53,21,8,2,2,0,0,0
"2024-05-01",53,20,7,2,2,0,0,0
"2024-06-01",52,19,7,2,2,0,0,0
"2024-07-01",55,20,7,1,2,0,0,0
"2024-08-01",58,20,7,2,2,0,0,0
"2024-09-01",55,19,7,2,3,0,0,0
"2024-10-01",55,19,7,5,3,0,0,0
"2024-11-01",54,19,7,3,2,0,0,0
"2024-12-01",57,19,6,2,2,0,0,0
"2025-01-01",60,20,8,2,2,0,0,0
"2025-02-01",60,21,7,2,3,0,0,0
"2025-03-01",56,20,7,2,3,0,0,0
"2025-04-01",57,21,7,2,2,0,0,0
"2025-05-01",54,21,7,2,2,0,0,0
"2025-06-01",56,21,7,2,2,0,0,0
"2025-07-01",56,21,7,2,2,0,0,0
"2025-08-01",69,25,8,5,3,0,0,0
"2025-09-01",64,25,8,6,5,1,1,0
"2025-10-01",71,24,8,6,4,1,1,0
"2025-11-01",70,25,9,10,4,1,1,0
"2025-12-01",66,28,7,7,4,1,1,0
"2026-01-01",68,28,8,9,4,1,1,0
"2026-02-01",68,34,10,9,6,1,1,1
"2026-03-01",79,33,11,11,5,1,1,0
"2026-04-01",91,55,13,19,6,2,1,1
"2026-05-01",100,50,12,17,7,2,1,1
"2026-06-01",62,25,8,6,3,1,0,0
