"Time","prenatal vitamins","folic acid pregnancy","iron during pregnancy","breastfeeding diet","prenatal nutrition","healthy pregnancy snacks","postnatal nutrition","postpartum recovery diet"
"2021-06-01",53,22,6,6,1,1,0,0
"2021-07-01",57,22,6,6,1,1,0,0
"2021-08-01",55,19,6,6,1,1,0,0
"2021-09-01",54,22,7,6,1,1,0,0
"2021-10-01",52,20,7,6,1,1,0,0
"2021-11-01",53,21,6,6,1,1,0,0
"2021-12-01",55,22,6,5,1,1,0,0
"2022-01-01",63,26,6,7,1,1,0,0
"2022-02-01",57,29,7,6,2,1,0,0
"2022-03-01",55,29,8,7,1,1,0,0
"2022-04-01",52,28,8,6,1,1,0,0
"2022-05-01",52,27,8,6,1,1,0,0
"2022-06-01",50,28,7,6,1,1,0,0
"2022-07-01",53,27,7,6,1,1,0,0
"2022-08-01",52,26,7,6,1,1,0,0
"2022-09-01",50,27,7,5,1,1,0,0
"2022-10-01",49,26,7,5,1,1,0,0
"2022-11-01",46,26,7,5,1,1,0,0
"2022-12-01",45,25,7,5,1,1,0,0
"2023-01-01",56,30,7,6,1,1,0,0
"2023-02-01",51,30,8,6,2,1,0,0
"2023-03-01",51,31,8,6,1,1,0,0
"2023-04-01",46,27,7,5,1,1,0,0
"2023-05-01",47,29,8,5,1,1,0,0
"2023-06-01",47,29,7,5,1,1,0,0
"2023-07-01",46,29,7,5,1,1,0,0
"2023-08-01",47,27,7,5,1,1,0,0
"2023-09-01",47,26,7,5,2,1,0,0
"2023-10-01",45,27,7,5,1,1,0,0
"2023-11-01",48,27,7,5,1,1,0,0
"2023-12-01",48,26,7,5,1,1,0,0
"2024-01-01",57,28,7,5,1,1,0,0
"2024-02-01",55,27,7,5,2,1,0,0
"2024-03-01",51,25,7,5,1,1,0,0
"2024-04-01",51,24,7,5,1,1,0,0
"2024-05-01",49,24,7,5,1,1,0,0
"2024-06-01",50,23,7,5,1,1,0,0
"2024-07-01",52,25,7,5,1,1,0,0
"2024-08-01",51,24,7,5,1,1,0,0
"2024-09-01",50,25,7,5,2,1,0,0
"2024-10-01",51,24,7,5,2,1,0,0
"2024-11-01",50,22,7,5,1,1,0,0
"2024-12-01",53,23,7,5,1,1,0,0
"2025-01-01",62,27,7,6,2,1,0,0
"2025-02-01",55,26,7,5,2,1,0,0
"2025-03-01",56,25,7,5,2,1,0,0
"2025-04-01",51,22,7,5,1,1,0,0
"2025-05-01",51,25,7,4,1,1,0,0
"2025-06-01",56,24,8,5,1,1,0,0
"2025-07-01",58,25,8,5,2,1,0,0
"2025-08-01",64,33,8,7,4,1,1,0
"2025-09-01",67,39,9,8,6,2,1,0
"2025-10-01",64,41,10,9,6,1,1,0
"2025-11-01",67,41,10,8,6,1,1,0
"2025-12-01",71,37,10,8,5,2,1,0
"2026-01-01",87,40,8,8,6,2,1,0
"2026-02-01",98,43,10,10,9,2,1,0
"2026-03-01",82,63,12,17,6,3,1,0
"2026-04-01",88,81,16,28,12,3,1,1
"2026-05-01",87,100,16,37,11,3,2,1
"2026-06-01",58,40,8,11,4,2,0,0
