"Time","prenatal vitamins","postnatal vitamins"
"2021-06-01",54,2
"2021-07-01",58,2
"2021-08-01",56,2
"2021-09-01",55,2
"2021-10-01",54,2
"2021-11-01",54,2
"2021-12-01",57,2
"2022-01-01",65,2
"2022-02-01",58,2
"2022-03-01",56,2
"2022-04-01",53,2
"2022-05-01",53,2
"2022-06-01",52,2
"2022-07-01",54,2
"2022-08-01",53,2
"2022-09-01",51,2
"2022-10-01",51,2
"2022-11-01",47,2
"2022-12-01",46,2
"2023-01-01",57,2
"2023-02-01",52,2
"2023-03-01",52,2
"2023-04-01",47,2
"2023-05-01",48,2
"2023-06-01",48,2
"2023-07-01",47,2
"2023-08-01",48,2
"2023-09-01",48,2
"2023-10-01",46,2
"2023-11-01",49,2
"2023-12-01",49,2
"2024-01-01",58,2
"2024-02-01",57,2
"2024-03-01",52,2
"2024-04-01",52,2
"2024-05-01",50,2
"2024-06-01",52,2
"2024-07-01",53,2
"2024-08-01",52,2
"2024-09-01",51,2
"2024-10-01",52,2
"2024-11-01",51,2
"2024-12-01",54,2
"2025-01-01",64,3
"2025-02-01",56,2
"2025-03-01",57,3
"2025-04-01",52,2
"2025-05-01",52,2
"2025-06-01",57,2
"2025-07-01",59,2
"2025-08-01",65,3
"2025-09-01",69,3
"2025-10-01",65,3
"2025-11-01",68,3
"2025-12-01",73,3
"2026-01-01",89,3
"2026-02-01",100,3
"2026-03-01",84,4
"2026-04-01",90,4
"2026-05-01",89,4
"2026-06-01",60,2
