Category: All categories

Country,Baby Formula: (11/06/2021 - 11/06/2026)
St Helena,100
Montserrat,
United States,68
Seychelles,
Northern Mariana Islands,
Cayman Islands,
Australia,63
Guam,
Jamaica,
Namibia,
Guyana,
Bermuda,
South Africa,56
New Zealand,56
Canada,55
Palau,
St Vincent & the Grenadines,
Gibraltar,
Brunei,
United Kingdom,50
St Kitts & Nevis,
Dominica,
Grenada,
Marshall Islands,
Barbados,
Indonesia,48
Trinidad & Tobago,
British Virgin Islands,
Eritrea,
Antigua & Barbuda,
Ireland,46
Bahamas,
Belize,
Turks & Caicos Islands,
Singapore,45
St Lucia,
Maldives,
Kiribati,
Samoa,
Botswana,
Tonga,
US Virgin Islands,
Svalbard & Jan Mayen,
Sint Maarten,
Eswatini,
Timor-Leste,
Lesotho,
Jersey,
Iran,38
Isle of Man,
Guernsey,
Malta,
Malaysia,34
Micronesia,
American Samoa,
Fiji,
Vanuatu,
Ethiopia,
Philippines,30
Liberia,
United Arab Emirates,28
Zimbabwe,
Ghana,27
Vietnam,25
Djibouti,
Denmark,25
Cook Islands,
Solomon Islands,
Kenya,25
Aruba,
Qatar,
Puerto Rico,
Pakistan,24
Caribbean Netherlands,
Afghanistan,
Mauritius,
Greenland,
Papua New Guinea,
Kosovo,
Faroe Islands,
Nigeria,21
Sierra Leone,
Curaçao,
Suriname,
Brazil,21
Netherlands,20
Norway,20
Bahrain,
Israel,20
Somalia,
Equatorial Guinea,
Cameroon,
Mexico,19
Zambia,
Gambia,
Albania,
Panama,
Uganda,
Malawi,
St Martin,
Cyprus,
Honduras,
Bhutan,
Lebanon,
Slovakia,16
Kuwait,
El Salvador,
Guatemala,
Ecuador,16
Peru,16
Cuba,
Costa Rica,
Sri Lanka,
Nicaragua,
Rwanda,
South Sudan,
Nepal,
Iceland,
Paraguay,
China,
Dominican Republic,
Cape Verde,
São Tomé & Príncipe,
Réunion,
Martinique,
Hungary,13
Hong Kong,13
North Macedonia,
Belgium,13
Comoros,
French Guiana,
Japan,13
South Korea,13
Spain,13
Macao,
Mozambique,
Bangladesh,12
Cambodia,
Chile,12
Colombia,11
Mayotte,
Tanzania,
Luxembourg,
Andorra,
Portugal,11
Estonia,
New Caledonia,
Italy,11
Russia,11
Gabon,
Oman,
San Marino,
Guadeloupe,
Haiti,
India,10
St Barthélemy,
France,10
Côte d’Ivoire,
Mongolia,
Niger,
Benin,
French Polynesia,
Madagascar,
Belarus,
Congo - Brazzaville,
Bolivia,
Laos,
Palestine,
Venezuela,9
Moldova,
Argentina,9
Greece,9
Angola,
Åland Islands,
Togo,
Türkiye,9
Central African Republic,
Armenia,
Saudi Arabia,8
Taiwan,8
Guinea,
Myanmar (Burma),
Georgia,
Switzerland,7
Burkina Faso,
Latvia,
Czechia,7
Jordan,
Senegal,
Ukraine,7
Slovenia,
Kazakhstan,
Burundi,
Sweden,6
Kyrgyzstan,
Finland,
Romania,6
Mali,
Iraq,
Uruguay,
Libya,
Azerbaijan,
Western Sahara,
Guinea-Bissau,
Tajikistan,
Turkmenistan,
Liechtenstein,
Lithuania,
Congo - Kinshasa,
Montenegro,
Uzbekistan,
Sudan,
Chad,
Morocco,
Egypt,5
Tunisia,
Bosnia & Herzegovina,
Algeria,
Croatia,
Bulgaria,
Poland,4
Serbia,
Mauritania,
Austria,
Germany,3
Yemen,
Thailand,2
Syria,
Christmas Island,
Tuvalu,
Antarctica,
French Southern Territories,
US Outlying Islands,
Tokelau,
Heard & McDonald Islands,
St Pierre & Miquelon,
Vatican City,
British Indian Ocean Territory,
South Georgia & South Sandwich Islands,
North Korea,
Monaco,
Cocos (Keeling) Islands,
Anguilla,
Wallis & Futuna,
Pitcairn Islands,
Falkland Islands (Islas Malvinas),
Bouvet Island,
Nauru,
Niue,
Norfolk Island,
