Category: All categories

Country,Breastfeeding: (11/06/2021 - 11/06/2026)
Kiribati,
Libya,100
Syria,99
Sudan,
Yemen,
Cameroon,
Czechia,87
Kenya,87
Palestine,
Palau,
Indonesia,84
Comoros,
Egypt,81
Réunion,
Seychelles,
Jordan,76
Vanuatu,
Ghana,74
Kazakhstan,73
Nigeria,73
Russia,73
Zimbabwe,
Lebanon,73
Namibia,
Brazil,72
Djibouti,
Guatemala,71
Paraguay,71
Timor-Leste,
Eswatini,
Gambia,
Lesotho,
Greenland,
St Vincent & the Grenadines,
Costa Rica,64
Grenada,
St Helena,
Marshall Islands,
Bolivia,63
Ecuador,63
Kyrgyzstan,
Guam,
Niger,
Australia,62
Israel,62
Eritrea,
Samoa,
Zambia,
Cuba,
Guyana,
Cape Verde,
St Lucia,
Northern Mariana Islands,
Nicaragua,
Cayman Islands,
Algeria,61
Solomon Islands,
Somalia,
Moldova,
Uganda,
Brunei,
Norway,59
Trinidad & Tobago,
New Caledonia,
Chile,58
Bhutan,
Burundi,
Angola,
Botswana,
Belize,
Peru,57
El Salvador,
French Polynesia,
Honduras,
New Zealand,56
Belarus,56
Portugal,56
Senegal,
French Guiana,
Anguilla,
Micronesia,
Mauritania,
Jamaica,
St Martin,
Maldives,
Oman,
Madagascar,
Equatorial Guinea,
São Tomé & Príncipe,
Faroe Islands,
Mexico,54
Poland,54
Colombia,54
Dominica,
Turkmenistan,
Iran,53
Türkiye,53
St Kitts & Nevis,
South Sudan,
Ireland,52
Martinique,
Sweden,52
Bahrain,
Saudi Arabia,51
United States,51
British Virgin Islands,
Jersey,
Sierra Leone,
Canada,51
Burkina Faso,
Guadeloupe,
Vietnam,50
Tonga,
Philippines,50
Denmark,50
Bosnia & Herzegovina,
South Africa,50
Antigua & Barbuda,
United Kingdom,50
Germany,49
Luxembourg,
Mayotte,
Chad,
Montserrat,
Bulgaria,49
Gabon,
Bermuda,
Spain,49
Fiji,
Mauritius,
Panama,
St Barthélemy,
Barbados,
Iraq,48
Gibraltar,
Cook Islands,
Ethiopia,
Iceland,
Afghanistan,
Morocco,46
Switzerland,46
Austria,46
Papua New Guinea,
Guernsey,
Mozambique,
Belgium,45
Tunisia,45
Sint Maarten,
Åland Islands,
Isle of Man,
Western Sahara,
Kuwait,
Qatar,
Netherlands,44
Singapore,44
Slovakia,43
Malta,
France,42
American Samoa,
Malawi,
Italy,42
Caribbean Netherlands,
Togo,
Cyprus,
Dominican Republic,41
Benin,
Uruguay,
Ukraine,39
Tajikistan,
Liberia,
United Arab Emirates,39
Andorra,
Romania,38
Slovenia,
Croatia,38
Côte d’Ivoire,
Venezuela,37
Aruba,
US Virgin Islands,
Bahamas,
Congo - Kinshasa,
Malaysia,37
Suriname,
San Marino,
Falkland Islands (Islas Malvinas),
Puerto Rico,
Greece,36
Serbia,35
Liechtenstein,
Congo - Brazzaville,
Rwanda,
Haiti,
Turks & Caicos Islands,
Tanzania,
Argentina,33
Curaçao,
Hungary,33
Pakistan,33
Guinea,
Latvia,
Sri Lanka,31
Montenegro,
Guinea-Bissau,
Finland,31
Armenia,
Estonia,
Svalbard & Jan Mayen,
Albania,
Uzbekistan,
Kosovo,
Mali,
St Pierre & Miquelon,
North Macedonia,
Macao,
India,23
Nepal,
Central African Republic,
Taiwan,22
Bangladesh,21
Hong Kong,19
Azerbaijan,
China,
Japan,19
Georgia,
Lithuania,
South Korea,15
Myanmar (Burma),
Cambodia,
Mongolia,
Laos,
Thailand,11
Cocos (Keeling) Islands,
US Outlying Islands,
Monaco,
Antarctica,
Heard & McDonald Islands,
Vatican City,
Tuvalu,
French Southern Territories,
Tokelau,
Norfolk Island,
Niue,
British Indian Ocean Territory,
Wallis & Futuna,
Nauru,
Pitcairn Islands,
North Korea,
South Georgia & South Sandwich Islands,
Bouvet Island,
Christmas Island,
