Category: All categories

Country,Infant feeding: (11/06/2021 - 11/06/2026)
St Kitts & Nevis,
Isle of Man,
South Sudan,
St Helena,100
Somalia,
Lesotho,
Ethiopia,77
United Kingdom,66
Maldives,
Jamaica,62
Malta,
Papua New Guinea,
Zimbabwe,
Bahamas,
Ireland,48
Slovenia,44
Canada,44
Australia,44
Guyana,
Zambia,
Singapore,40
Brunei,
United States,37
Ghana,37
Botswana,
China,33
Malawi,
Pakistan,33
Mauritius,
Namibia,
Philippines,33
Kenya,33
New Zealand,29
Nigeria,29
Hungary,29
Rwanda,
Qatar,
Nicaragua,
Uganda,25
Cameroon,
United Arab Emirates,25
Trinidad & Tobago,
Sri Lanka,25
Mongolia,
Tanzania,
Bahrain,
Lebanon,
North Macedonia,
Iceland,
Kosovo,
India,18
South Africa,18
Israel,18
South Korea,18
Oman,
Nepal,14
Palestine,
Kyrgyzstan,
Malaysia,14
Hong Kong,14
Kuwait,
Cambodia,
Cyprus,
Yemen,
Spain,14
Peru,14
Luxembourg,
Afghanistan,
Bangladesh,11
Azerbaijan,
Myanmar (Burma),
Estonia,
Belarus,11
Albania,
Jordan,
Iraq,11
Saudi Arabia,11
Lithuania,
Russia,7
Armenia,
Ukraine,7
Latvia,
Ecuador,7
Puerto Rico,
Switzerland,7
Panama,
Georgia,
Guatemala,
Netherlands,7
Portugal,7
Bulgaria,
Norway,7
Romania,7
Moldova,
Croatia,
Libya,
Uzbekistan,
Finland,7
Egypt,3
Greece,3
Kazakhstan,3
Chile,3
Algeria,
Uruguay,
Denmark,
Slovakia,
Taiwan,3
Mexico,3
Poland,3
Morocco,
Tunisia,
Serbia,
Paraguay,
Bosnia & Herzegovina,
Vietnam,3
Austria,
Colombia,3
Venezuela,
Czechia,
Dominican Republic,
Belgium,3
Sweden,3
Germany,3
Costa Rica,
France,3
Argentina,3
Bolivia,
Thailand,3
Italy,3
Türkiye,3
Indonesia,<1
Japan,<1
Brazil,<1
Iran,
Bermuda,
Aruba,
St Martin,
Côte d’Ivoire,
Monaco,
Liechtenstein,
Madagascar,
Cocos (Keeling) Islands,
St Lucia,
Marshall Islands,
Central African Republic,
Mali,
Bouvet Island,
Angola,
Montenegro,
Bhutan,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Barbados,
Congo - Kinshasa,
Congo - Brazzaville,
Mayotte,
Western Sahara,
New Caledonia,
Niger,
Norfolk Island,
Belize,
Cook Islands,
Niue,
Comoros,
Kiribati,
St Barthélemy,
Nauru,
Cape Verde,
Cuba,
Jersey,
Curaçao,
Pitcairn Islands,
Burkina Faso,
Caribbean Netherlands,
Palau,
Benin,
Christmas Island,
Cayman Islands,
North Korea,
British Indian Ocean Territory,
Djibouti,
Dominica,
French Polynesia,
Burundi,
Réunion,
Haiti,
Honduras,
Heard & McDonald Islands,
Guam,
Sudan,
Senegal,
French Guiana,
South Georgia & South Sandwich Islands,
Antigua & Barbuda,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
French Southern Territories,
St Pierre & Miquelon,
Greenland,
Antarctica,
São Tomé & Príncipe,
Suriname,
Grenada,
American Samoa,
Equatorial Guinea,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Guinea-Bissau,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Gambia,
Guadeloupe,
Guinea,
Tuvalu,
Gibraltar,
Guernsey,
Andorra,
Gabon,
US Outlying Islands,
Micronesia,
Faroe Islands,
Falkland Islands (Islas Malvinas),
Vatican City,
St Vincent & the Grenadines,
Fiji,
British Virgin Islands,
US Virgin Islands,
Eritrea,
Vanuatu,
Wallis & Futuna,
Samoa,
Åland Islands,
Anguilla,
Liberia,
Laos,
Macao,
