Category: All categories

Week,Baby Food: (Worldwide)
2021-06-06,73
2021-06-13,72
2021-06-20,72
2021-06-27,66
2021-07-04,69
2021-07-11,68
2021-07-18,68
2021-07-25,69
2021-08-01,65
2021-08-08,66
2021-08-15,71
2021-08-22,70
2021-08-29,70
2021-09-05,73
2021-09-12,75
2021-09-19,76
2021-09-26,79
2021-10-03,79
2021-10-10,81
2021-10-17,78
2021-10-24,68
2021-10-31,70
2021-11-07,74
2021-11-14,73
2021-11-21,67
2021-11-28,70
2021-12-05,74
2021-12-12,73
2021-12-19,66
2021-12-26,66
2022-01-02,81
2022-01-09,83
2022-01-16,77
2022-01-23,77
2022-01-30,78
2022-02-06,81
2022-02-13,78
2022-02-20,74
2022-02-27,81
2022-03-06,85
2022-03-13,85
2022-03-20,79
2022-03-27,78
2022-04-03,80
2022-04-10,74
2022-04-17,75
2022-04-24,72
2022-05-01,71
2022-05-08,82
2022-05-15,80
2022-05-22,80
2022-05-29,81
2022-06-05,83
2022-06-12,87
2022-06-19,80
2022-06-26,82
2022-07-03,90
2022-07-10,86
2022-07-17,91
2022-07-24,85
2022-07-31,89
2022-08-07,81
2022-08-14,86
2022-08-21,88
2022-08-28,84
2022-09-04,82
2022-09-11,81
2022-09-18,78
2022-09-25,84
2022-10-02,79
2022-10-09,82
2022-10-16,80
2022-10-23,82
2022-10-30,79
2022-11-06,79
2022-11-13,81
2022-11-20,77
2022-11-27,78
2022-12-04,77
2022-12-11,80
2022-12-18,79
2022-12-25,76
2023-01-01,86
2023-01-08,93
2023-01-15,89
2023-01-22,100
2023-01-29,94
2023-02-05,93
2023-02-12,88
2023-02-19,91
2023-02-26,84
2023-03-05,93
2023-03-12,91
2023-03-19,85
2023-03-26,88
2023-04-02,90
2023-04-09,88
2023-04-16,91
2023-04-23,87
2023-04-30,81
2023-05-07,90
2023-05-14,89
2023-05-21,92
2023-05-28,87
2023-06-04,93
2023-06-11,93
2023-06-18,94
2023-06-25,91
2023-07-02,95
2023-07-09,87
2023-07-16,89
2023-07-23,87
2023-07-30,84
2023-08-06,78
2023-08-13,75
2023-08-20,77
2023-08-27,78
2023-09-03,82
2023-09-10,73
2023-09-17,76
2023-09-24,75
2023-10-01,73
2023-10-08,74
2023-10-15,74
2023-10-22,72
2023-10-29,68
2023-11-05,74
2023-11-12,69
2023-11-19,69
2023-11-26,76
2023-12-03,74
2023-12-10,71
2023-12-17,68
2023-12-24,67
2023-12-31,67
2024-01-07,74
2024-01-14,75
2024-01-21,76
2024-01-28,75
2024-02-04,75
2024-02-11,69
2024-02-18,76
2024-02-25,75
2024-03-03,74
2024-03-10,73
2024-03-17,76
2024-03-24,73
2024-03-31,73
2024-04-07,71
2024-04-14,73
2024-04-21,70
2024-04-28,66
2024-05-05,70
2024-05-12,70
2024-05-19,79
2024-05-26,70
2024-06-02,69
2024-06-09,68
2024-06-16,70
2024-06-23,67
2024-06-30,67
2024-07-07,69
2024-07-14,68
2024-07-21,72
2024-07-28,66
2024-08-04,64
2024-08-11,67
2024-08-18,75
2024-08-25,69
2024-09-01,71
2024-09-08,67
2024-09-15,69
2024-09-22,68
2024-09-29,69
2024-10-06,68
2024-10-13,68
2024-10-20,71
2024-10-27,70
2024-11-03,64
2024-11-10,69
2024-11-17,67
2024-11-24,68
2024-12-01,68
2024-12-08,69
2024-12-15,67
2024-12-22,69
2024-12-29,66
2025-01-05,80
2025-01-12,81
2025-01-19,78
2025-01-26,77
2025-02-02,74
2025-02-09,77
2025-02-16,79
2025-02-23,74
2025-03-02,77
2025-03-09,71
2025-03-16,72
2025-03-23,73
2025-03-30,77
2025-04-06,77
2025-04-13,75
2025-04-20,74
2025-04-27,74
2025-05-04,69
2025-05-11,73
2025-05-18,72
2025-05-25,70
2025-06-01,75
2025-06-08,80
2025-06-15,73
2025-06-22,71
2025-06-29,73
2025-07-06,76
2025-07-13,79
2025-07-20,77
2025-07-27,80
2025-08-03,80
2025-08-10,73
2025-08-17,85
2025-08-24,80
2025-08-31,76
2025-09-07,77
2025-09-14,72
2025-09-21,76
2025-09-28,83
2025-10-05,79
2025-10-12,78
2025-10-19,74
2025-10-26,74
2025-11-02,72
2025-11-09,78
2025-11-16,79
2025-11-23,74
2025-11-30,82
2025-12-07,77
2025-12-14,77
2025-12-21,71
2025-12-28,67
2026-01-04,93
2026-01-11,80
2026-01-18,85
2026-01-25,86
2026-02-01,91
2026-02-08,87
2026-02-15,82
2026-02-22,88
2026-03-01,84
2026-03-08,86
2026-03-15,82
2026-03-22,84
2026-03-29,87
2026-04-05,81
2026-04-12,85
2026-04-19,95
2026-04-26,82
2026-05-03,85
2026-05-10,89
2026-05-17,82
2026-05-24,79
2026-05-31,74
2026-06-07,75
