Category: All categories

Week,Breastfeeding: (Worldwide)
2021-06-06,85
2021-06-13,83
2021-06-20,85
2021-06-27,84
2021-07-04,84
2021-07-11,86
2021-07-18,85
2021-07-25,89
2021-08-01,98
2021-08-08,90
2021-08-15,87
2021-08-22,83
2021-08-29,82
2021-09-05,83
2021-09-12,87
2021-09-19,80
2021-09-26,81
2021-10-03,81
2021-10-10,82
2021-10-17,84
2021-10-24,84
2021-10-31,83
2021-11-07,80
2021-11-14,81
2021-11-21,77
2021-11-28,83
2021-12-05,78
2021-12-12,79
2021-12-19,79
2021-12-26,83
2022-01-02,89
2022-01-09,90
2022-01-16,78
2022-01-23,86
2022-01-30,91
2022-02-06,86
2022-02-13,84
2022-02-20,85
2022-02-27,82
2022-03-06,85
2022-03-13,82
2022-03-20,79
2022-03-27,79
2022-04-03,79
2022-04-10,77
2022-04-17,78
2022-04-24,79
2022-05-01,77
2022-05-08,83
2022-05-15,85
2022-05-22,83
2022-05-29,81
2022-06-05,78
2022-06-12,81
2022-06-19,80
2022-06-26,80
2022-07-03,79
2022-07-10,81
2022-07-17,87
2022-07-24,82
2022-07-31,100
2022-08-07,83
2022-08-14,85
2022-08-21,84
2022-08-28,83
2022-09-04,81
2022-09-11,84
2022-09-18,85
2022-09-25,82
2022-10-02,84
2022-10-09,94
2022-10-16,86
2022-10-23,87
2022-10-30,85
2022-11-06,84
2022-11-13,80
2022-11-20,76
2022-11-27,78
2022-12-04,80
2022-12-11,82
2022-12-18,83
2022-12-25,84
2023-01-01,88
2023-01-08,84
2023-01-15,88
2023-01-22,89
2023-01-29,84
2023-02-05,83
2023-02-12,83
2023-02-19,89
2023-02-26,84
2023-03-05,80
2023-03-12,79
2023-03-19,81
2023-03-26,76
2023-04-02,76
2023-04-09,73
2023-04-16,73
2023-04-23,75
2023-04-30,78
2023-05-07,74
2023-05-14,80
2023-05-21,78
2023-05-28,76
2023-06-04,75
2023-06-11,78
2023-06-18,79
2023-06-25,77
2023-07-02,74
2023-07-09,79
2023-07-16,83
2023-07-23,81
2023-07-30,91
2023-08-06,84
2023-08-13,80
2023-08-20,75
2023-08-27,79
2023-09-03,76
2023-09-10,74
2023-09-17,79
2023-09-24,74
2023-10-01,79
2023-10-08,75
2023-10-15,76
2023-10-22,74
2023-10-29,73
2023-11-05,78
2023-11-12,75
2023-11-19,76
2023-11-26,76
2023-12-03,76
2023-12-10,72
2023-12-17,77
2023-12-24,79
2023-12-31,78
2024-01-07,75
2024-01-14,76
2024-01-21,76
2024-01-28,75
2024-02-04,73
2024-02-11,72
2024-02-18,78
2024-02-25,76
2024-03-03,73
2024-03-10,73
2024-03-17,76
2024-03-24,71
2024-03-31,69
2024-04-07,71
2024-04-14,69
2024-04-21,74
2024-04-28,73
2024-05-05,73
2024-05-12,75
2024-05-19,72
2024-05-26,71
2024-06-02,71
2024-06-09,67
2024-06-16,71
2024-06-23,68
2024-06-30,71
2024-07-07,70
2024-07-14,73
2024-07-21,79
2024-07-28,81
2024-08-04,82
2024-08-11,79
2024-08-18,77
2024-08-25,75
2024-09-01,74
2024-09-08,74
2024-09-15,73
2024-09-22,71
2024-09-29,73
2024-10-06,70
2024-10-13,78
2024-10-20,78
2024-10-27,76
2024-11-03,72
2024-11-10,73
2024-11-17,75
2024-11-24,82
2024-12-01,73
2024-12-08,76
2024-12-15,73
2024-12-22,77
2024-12-29,80
2025-01-05,78
2025-01-12,77
2025-01-19,74
2025-01-26,76
2025-02-02,77
2025-02-09,74
2025-02-16,75
2025-02-23,77
2025-03-02,73
2025-03-09,75
2025-03-16,75
2025-03-23,75
2025-03-30,71
2025-04-06,72
2025-04-13,74
2025-04-20,74
2025-04-27,75
2025-05-04,74
2025-05-11,74
2025-05-18,78
2025-05-25,71
2025-06-01,76
2025-06-08,71
2025-06-15,71
2025-06-22,73
2025-06-29,71
2025-07-06,73
2025-07-13,73
2025-07-20,76
2025-07-27,83
2025-08-03,88
2025-08-10,82
2025-08-17,81
2025-08-24,81
2025-08-31,80
2025-09-07,76
2025-09-14,80
2025-09-21,78
2025-09-28,81
2025-10-05,80
2025-10-12,83
2025-10-19,82
2025-10-26,76
2025-11-02,73
2025-11-09,74
2025-11-16,79
2025-11-23,79
2025-11-30,79
2025-12-07,76
2025-12-14,75
2025-12-21,76
2025-12-28,82
2026-01-04,78
2026-01-11,78
2026-01-18,79
2026-01-25,79
2026-02-01,78
2026-02-08,76
2026-02-15,80
2026-02-22,81
2026-03-01,80
2026-03-08,79
2026-03-15,82
2026-03-22,84
2026-03-29,91
2026-04-05,86
2026-04-12,79
2026-04-19,88
2026-04-26,85
2026-05-03,88
2026-05-10,89
2026-05-17,94
2026-05-24,87
2026-05-31,73
2026-06-07,73
