Category: All categories

Week,Infant feeding: (Worldwide)
2021-06-06,3
2021-06-13,3
2021-06-20,3
2021-06-27,3
2021-07-04,2
2021-07-11,2
2021-07-18,4
2021-07-25,3
2021-08-01,3
2021-08-08,3
2021-08-15,2
2021-08-22,3
2021-08-29,3
2021-09-05,2
2021-09-12,3
2021-09-19,2
2021-09-26,3
2021-10-03,2
2021-10-10,2
2021-10-17,2
2021-10-24,2
2021-10-31,2
2021-11-07,3
2021-11-14,1
2021-11-21,0
2021-11-28,1
2021-12-05,2
2021-12-12,2
2021-12-19,2
2021-12-26,0
2022-01-02,2
2022-01-09,3
2022-01-16,3
2022-01-23,3
2022-01-30,2
2022-02-06,3
2022-02-13,4
2022-02-20,4
2022-02-27,4
2022-03-06,3
2022-03-13,3
2022-03-20,4
2022-03-27,3
2022-04-03,3
2022-04-10,3
2022-04-17,3
2022-04-24,4
2022-05-01,2
2022-05-08,4
2022-05-15,2
2022-05-22,3
2022-05-29,2
2022-06-05,3
2022-06-12,2
2022-06-19,3
2022-06-26,2
2022-07-03,2
2022-07-10,2
2022-07-17,1
2022-07-24,2
2022-07-31,1
2022-08-07,1
2022-08-14,2
2022-08-21,2
2022-08-28,2
2022-09-04,2
2022-09-11,3
2022-09-18,2
2022-09-25,2
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,4
2022-10-30,4
2022-11-06,6
2022-11-13,9
2022-11-20,8
2022-11-27,7
2022-12-04,7
2022-12-11,8
2022-12-18,6
2022-12-25,5
2023-01-01,6
2023-01-08,7
2023-01-15,9
2023-01-22,9
2023-01-29,7
2023-02-05,8
2023-02-12,7
2023-02-19,7
2023-02-26,9
2023-03-05,14
2023-03-12,15
2023-03-19,15
2023-03-26,15
2023-04-02,16
2023-04-09,17
2023-04-16,18
2023-04-23,20
2023-04-30,20
2023-05-07,19
2023-05-14,19
2023-05-21,20
2023-05-28,22
2023-06-04,25
2023-06-11,22
2023-06-18,15
2023-06-25,15
2023-07-02,16
2023-07-09,14
2023-07-16,18
2023-07-23,20
2023-07-30,16
2023-08-06,20
2023-08-13,19
2023-08-20,16
2023-08-27,18
2023-09-03,17
2023-09-10,18
2023-09-17,22
2023-09-24,19
2023-10-01,21
2023-10-08,20
2023-10-15,20
2023-10-22,23
2023-10-29,22
2023-11-05,21
2023-11-12,22
2023-11-19,22
2023-11-26,24
2023-12-03,21
2023-12-10,19
2023-12-17,19
2023-12-24,17
2023-12-31,19
2024-01-07,21
2024-01-14,18
2024-01-21,22
2024-01-28,23
2024-02-04,20
2024-02-11,15
2024-02-18,18
2024-02-25,20
2024-03-03,22
2024-03-10,20
2024-03-17,19
2024-03-24,19
2024-03-31,14
2024-04-07,15
2024-04-14,15
2024-04-21,17
2024-04-28,19
2024-05-05,31
2024-05-12,38
2024-05-19,45
2024-05-26,33
2024-06-02,30
2024-06-09,34
2024-06-16,33
2024-06-23,34
2024-06-30,31
2024-07-07,31
2024-07-14,36
2024-07-21,46
2024-07-28,42
2024-08-04,41
2024-08-11,44
2024-08-18,38
2024-08-25,39
2024-09-01,34
2024-09-08,30
2024-09-15,37
2024-09-22,37
2024-09-29,33
2024-10-06,32
2024-10-13,31
2024-10-20,37
2024-10-27,42
2024-11-03,33
2024-11-10,25
2024-11-17,24
2024-11-24,19
2024-12-01,17
2024-12-08,20
2024-12-15,19
2024-12-22,17
2024-12-29,21
2025-01-05,21
2025-01-12,25
2025-01-19,30
2025-01-26,28
2025-02-02,32
2025-02-09,33
2025-02-16,31
2025-02-23,41
2025-03-02,34
2025-03-09,31
2025-03-16,34
2025-03-23,31
2025-03-30,31
2025-04-06,30
2025-04-13,30
2025-04-20,36
2025-04-27,33
2025-05-04,31
2025-05-11,30
2025-05-18,33
2025-05-25,28
2025-06-01,33
2025-06-08,30
2025-06-15,32
2025-06-22,32
2025-06-29,34
2025-07-06,30
2025-07-13,31
2025-07-20,35
2025-07-27,39
2025-08-03,41
2025-08-10,41
2025-08-17,47
2025-08-24,42
2025-08-31,41
2025-09-07,41
2025-09-14,43
2025-09-21,43
2025-09-28,41
2025-10-05,42
2025-10-12,40
2025-10-19,42
2025-10-26,43
2025-11-02,47
2025-11-09,54
2025-11-16,51
2025-11-23,58
2025-11-30,60
2025-12-07,48
2025-12-14,53
2025-12-21,47
2025-12-28,48
2026-01-04,46
2026-01-11,44
2026-01-18,52
2026-01-25,53
2026-02-01,59
2026-02-08,66
2026-02-15,86
2026-02-22,88
2026-03-01,47
2026-03-08,54
2026-03-15,65
2026-03-22,72
2026-03-29,91
2026-04-05,90
2026-04-12,78
2026-04-19,78
2026-04-26,83
2026-05-03,87
2026-05-10,100
2026-05-17,89
2026-05-24,65
2026-05-31,48
2026-06-07,39
