Category: All categories

Week,Breastfeeding: (Worldwide),Baby Formula: (Worldwide),Infant feeding: (Worldwide),Baby Food: (Worldwide)
2021-06-06,85,16,<1,13
2021-06-13,83,15,<1,13
2021-06-20,85,16,<1,13
2021-06-27,84,15,<1,12
2021-07-04,84,15,<1,13
2021-07-11,86,16,<1,12
2021-07-18,85,16,<1,12
2021-07-25,89,16,<1,13
2021-08-01,98,16,<1,12
2021-08-08,90,17,<1,12
2021-08-15,87,16,<1,13
2021-08-22,83,16,<1,13
2021-08-29,82,17,<1,13
2021-09-05,83,16,<1,13
2021-09-12,87,16,<1,14
2021-09-19,80,16,<1,14
2021-09-26,81,16,<1,14
2021-10-03,81,16,<1,14
2021-10-10,82,16,<1,15
2021-10-17,84,17,<1,14
2021-10-24,84,16,<1,12
2021-10-31,83,16,<1,13
2021-11-07,80,16,<1,13
2021-11-14,81,17,<1,13
2021-11-21,77,17,0,12
2021-11-28,83,17,<1,13
2021-12-05,78,17,<1,13
2021-12-12,79,17,<1,13
2021-12-19,79,16,<1,12
2021-12-26,83,17,0,12
2022-01-02,89,19,<1,15
2022-01-09,90,18,<1,15
2022-01-16,78,17,<1,14
2022-01-23,86,18,<1,14
2022-01-30,91,19,<1,14
2022-02-06,86,18,<1,15
2022-02-13,84,29,<1,14
2022-02-20,85,25,<1,13
2022-02-27,82,23,<1,15
2022-03-06,85,20,<1,15
2022-03-13,82,19,<1,15
2022-03-20,79,20,<1,14
2022-03-27,79,20,<1,14
2022-04-03,79,19,<1,15
2022-04-10,77,21,<1,13
2022-04-17,78,21,<1,14
2022-04-24,79,23,<1,13
2022-05-01,77,24,<1,13
2022-05-08,83,68,<1,15
2022-05-15,85,79,<1,14
2022-05-22,83,48,<1,14
2022-05-29,81,28,<1,15
2022-06-05,78,26,<1,15
2022-06-12,81,26,<1,16
2022-06-19,80,24,<1,15
2022-06-26,80,22,<1,15
2022-07-03,79,20,<1,16
2022-07-10,81,20,<1,16
2022-07-17,87,21,<1,16
2022-07-24,82,21,<1,15
2022-07-31,100,20,<1,16
2022-08-07,83,20,<1,15
2022-08-14,85,20,<1,16
2022-08-21,84,20,<1,16
2022-08-28,83,20,<1,15
2022-09-04,81,19,<1,15
2022-09-11,84,20,<1,15
2022-09-18,85,20,<1,14
2022-09-25,82,19,<1,15
2022-10-02,84,19,<1,14
2022-10-09,94,19,<1,15
2022-10-16,86,19,<1,15
2022-10-23,87,19,<1,15
2022-10-30,85,19,<1,14
2022-11-06,84,19,<1,14
2022-11-13,80,19,<1,15
2022-11-20,76,18,<1,14
2022-11-27,78,18,<1,14
2022-12-04,80,19,<1,14
2022-12-11,82,19,<1,14
2022-12-18,83,18,<1,14
2022-12-25,84,19,<1,14
2023-01-01,88,18,<1,16
2023-01-08,84,18,<1,17
2023-01-15,88,19,<1,16
2023-01-22,89,19,<1,18
2023-01-29,84,19,<1,17
2023-02-05,83,18,<1,17
2023-02-12,83,17,<1,16
2023-02-19,89,19,<1,16
2023-02-26,84,18,<1,15
2023-03-05,80,17,<1,17
2023-03-12,79,17,<1,16
2023-03-19,81,17,<1,16
2023-03-26,76,18,<1,16
2023-04-02,76,16,<1,16
2023-04-09,73,17,<1,16
2023-04-16,73,17,<1,17
2023-04-23,75,17,<1,16
2023-04-30,78,17,<1,15
2023-05-07,74,18,<1,16
2023-05-14,80,18,<1,16
2023-05-21,78,18,<1,17
2023-05-28,76,17,<1,16
2023-06-04,75,17,<1,17
2023-06-11,78,17,<1,17
2023-06-18,79,18,<1,17
2023-06-25,77,17,<1,17
2023-07-02,74,18,<1,17
2023-07-09,79,18,<1,16
2023-07-16,83,17,<1,16
2023-07-23,81,18,<1,16
2023-07-30,91,18,<1,15
2023-08-06,84,17,<1,14
2023-08-13,80,19,<1,14
2023-08-20,75,18,<1,14
2023-08-27,79,19,<1,14
2023-09-03,76,19,<1,15
2023-09-10,74,18,<1,13
2023-09-17,79,19,<1,14
2023-09-24,74,18,<1,14
2023-10-01,79,19,<1,13
2023-10-08,75,18,<1,13
2023-10-15,76,18,<1,14
2023-10-22,74,18,<1,13
2023-10-29,73,17,<1,12
2023-11-05,78,19,<1,13
2023-11-12,75,19,<1,13
2023-11-19,76,17,<1,13
2023-11-26,76,19,<1,14
2023-12-03,76,18,<1,13
2023-12-10,72,17,<1,13
2023-12-17,77,17,<1,12
2023-12-24,79,17,<1,12
2023-12-31,78,18,<1,12
2024-01-07,75,19,<1,14
2024-01-14,76,18,<1,14
2024-01-21,76,17,<1,14
2024-01-28,75,19,<1,14
2024-02-04,73,18,<1,14
2024-02-11,72,17,<1,13
2024-02-18,78,20,<1,14
2024-02-25,76,18,<1,14
2024-03-03,73,17,<1,13
2024-03-10,73,16,<1,13
2024-03-17,76,17,<1,14
2024-03-24,71,18,<1,13
2024-03-31,69,17,<1,13
2024-04-07,71,18,<1,13
2024-04-14,69,18,<1,13
2024-04-21,74,17,<1,13
2024-04-28,73,17,<1,12
2024-05-05,73,17,<1,13
2024-05-12,75,19,<1,13
2024-05-19,72,18,<1,14
2024-05-26,71,18,<1,13
2024-06-02,71,16,<1,13
2024-06-09,67,17,<1,12
2024-06-16,71,17,<1,13
2024-06-23,68,16,<1,12
2024-06-30,71,17,<1,12
2024-07-07,70,17,<1,13
2024-07-14,73,17,<1,12
2024-07-21,79,18,<1,13
2024-07-28,81,18,<1,12
2024-08-04,82,18,<1,12
2024-08-11,79,18,<1,12
2024-08-18,77,19,<1,14
2024-08-25,75,19,<1,13
2024-09-01,74,18,<1,13
2024-09-08,74,18,<1,12
2024-09-15,73,17,<1,12
2024-09-22,71,18,<1,12
2024-09-29,73,21,<1,13
