"Time","iron deficiency","vitamin d deficiency","vitamin b12 deficiency","vitamin a deficiency","calcium deficiency","zinc deficiency","folate deficiency","iodine deficiency"
"2021-06-01",20,17,7,5,4,2,2,2
"2021-07-01",20,18,7,6,4,2,2,2
"2021-08-01",20,17,7,5,3,2,2,2
"2021-09-01",21,16,7,6,3,2,2,2
"2021-10-01",21,17,8,6,4,2,2,3
"2021-11-01",22,17,7,5,4,2,2,2
"2021-12-01",20,16,6,5,3,2,2,2
"2022-01-01",21,18,7,6,3,3,2,2
"2022-02-01",24,21,8,8,4,3,2,3
"2022-03-01",26,21,9,9,4,3,3,3
"2022-04-01",25,19,8,8,5,3,2,3
"2022-05-01",22,17,8,7,4,3,2,2
"2022-06-01",24,18,9,7,4,3,2,2
"2022-07-01",23,17,8,6,3,2,2,2
"2022-08-01",24,16,8,5,4,2,2,2
"2022-09-01",24,16,8,6,4,2,2,2
"2022-10-01",23,16,8,7,4,2,2,2
"2022-11-01",23,16,8,6,4,3,2,2
"2022-12-01",22,16,8,6,3,2,2,2
"2023-01-01",23,19,8,6,3,3,2,2
"2023-02-01",26,21,9,7,4,3,2,3
"2023-03-01",26,21,10,8,4,3,2,2
"2023-04-01",23,19,9,7,4,3,2,2
"2023-05-01",24,20,10,7,4,3,2,3
"2023-06-01",24,18,9,7,4,3,2,3
"2023-07-01",23,18,11,6,4,2,2,2
"2023-08-01",24,19,10,5,4,3,2,2
"2023-09-01",24,19,11,6,4,2,2,2
"2023-10-01",24,19,10,7,4,3,2,2
"2023-11-01",24,18,9,7,4,3,2,2
"2023-12-01",22,19,9,6,3,3,2,2
"2024-01-01",23,21,9,6,4,3,2,2
"2024-02-01",25,20,9,7,4,3,2,2
"2024-03-01",27,21,9,8,4,3,2,2
"2024-04-01",26,20,9,7,4,3,2,2
"2024-05-01",25,19,9,6,3,3,2,2
"2024-06-01",25,18,9,6,4,3,2,2
"2024-07-01",26,18,9,6,4,3,2,2
"2024-08-01",24,18,9,5,3,3,2,2
"2024-09-01",24,17,9,6,3,3,2,2
"2024-10-01",26,18,9,7,4,3,3,3
"2024-11-01",26,19,9,7,4,3,3,2
"2024-12-01",23,19,8,6,3,3,2,2
"2025-01-01",25,20,9,7,3,3,2,2
"2025-02-01",28,21,8,8,4,3,3,3
"2025-03-01",27,20,9,8,4,3,3,3
"2025-04-01",27,19,9,7,4,3,3,2
"2025-05-01",24,17,8,6,3,3,2,2
"2025-06-01",26,17,9,6,3,3,2,2
"2025-07-01",28,17,9,6,3,3,3,2
"2025-08-01",34,20,12,7,3,5,4,3
"2025-09-01",40,21,13,9,4,5,6,3
"2025-10-01",40,22,14,10,4,6,5,3
"2025-11-01",40,24,13,10,4,6,4,3
"2025-12-01",36,23,12,10,3,5,3,3
"2026-01-01",40,26,12,10,3,5,3,2
"2026-02-01",73,51,16,14,5,8,4,4
"2026-03-01",69,41,24,19,6,11,8,4
"2026-04-01",85,47,31,22,7,13,10,4
"2026-05-01",100,57,35,28,8,15,11,4
"2026-06-01",43,25,14,10,4,6,4,2
