"Time","vitamins for kids","immune system health","childhood nutrition","immune support supplements","probiotics for children","healthy diet for children"
"2021-06-01",30,14,4,1,2,2
"2021-07-01",33,12,4,2,2,2
"2021-08-01",51,15,3,3,2,1
"2021-09-01",45,17,5,2,2,3
"2021-10-01",39,18,7,3,2,2
"2021-11-01",35,17,5,2,2,3
"2021-12-01",33,17,4,3,2,2
"2022-01-01",45,24,5,3,2,3
"2022-02-01",38,26,6,2,2,4
"2022-03-01",36,25,8,2,2,4
"2022-04-01",35,23,8,1,2,4
"2022-05-01",34,20,6,2,2,4
"2022-06-01",35,17,5,2,2,3
"2022-07-01",36,14,5,2,2,2
"2022-08-01",41,12,5,1,2,2
"2022-09-01",44,17,6,2,2,3
"2022-10-01",43,19,6,2,2,3
"2022-11-01",43,19,7,3,2,3
"2022-12-01",38,19,6,2,2,3
"2023-01-01",50,17,5,2,3,3
"2023-02-01",47,20,7,2,3,4
"2023-03-01",48,20,6,2,2,4
"2023-04-01",40,20,7,2,2,4
"2023-05-01",43,20,6,2,2,4
"2023-06-01",38,15,5,2,2,4
"2023-07-01",44,11,5,2,2,3
"2023-08-01",48,13,4,2,2,2
"2023-09-01",47,18,6,2,2,3
"2023-10-01",48,20,7,2,1,3
"2023-11-01",47,21,7,3,2,3
"2023-12-01",44,19,5,2,2,4
"2024-01-01",55,18,5,3,2,4
"2024-02-01",59,22,7,2,3,5
"2024-03-01",52,22,7,2,3,4
"2024-04-01",49,24,8,2,2,5
"2024-05-01",42,20,6,2,2,5
"2024-06-01",43,16,6,2,2,5
"2024-07-01",48,15,7,2,2,2
"2024-08-01",64,16,6,3,2,3
"2024-09-01",54,23,7,3,3,4
"2024-10-01",52,25,8,3,2,4
"2024-11-01",53,26,7,4,2,5
"2024-12-01",49,22,6,4,3,4
"2025-01-01",66,23,6,4,3,4
"2025-02-01",65,27,8,5,3,5
"2025-03-01",58,26,9,4,3,5
"2025-04-01",54,28,8,4,4,5
"2025-05-01",54,24,7,4,3,5
"2025-06-01",51,22,6,5,4,5
"2025-07-01",53,22,11,7,4,3
"2025-08-01",69,32,29,12,14,4
"2025-09-01",66,43,43,16,15,6
"2025-10-01",64,45,39,18,14,6
"2025-11-01",73,46,44,15,23,6
"2025-12-01",73,51,39,25,28,8
"2026-01-01",82,49,42,26,20,6
"2026-02-01",83,61,52,23,19,7
"2026-03-01",80,68,55,19,24,11
"2026-04-01",85,83,75,25,24,12
"2026-05-01",88,100,75,19,31,16
"2026-06-01",53,34,21,7,7,6
