"Time","infant nutrition","toddler nutrition","childhood brain development","healthy eating for kids","early childhood nutrition","childhood obesity prevention"
"2021-06-01",4,3,2,4,1,1
"2021-07-01",4,3,2,3,1,1
"2021-08-01",4,3,2,3,1,1
"2021-09-01",4,3,3,3,2,1
"2021-10-01",5,3,4,3,2,1
"2021-11-01",4,3,4,3,1,1
"2021-12-01",4,2,3,2,1,1
"2022-01-01",5,3,3,3,1,1
"2022-02-01",6,3,5,4,1,1
"2022-03-01",7,3,5,4,2,1
"2022-04-01",7,3,5,4,2,2
"2022-05-01",7,3,4,4,1,1
"2022-06-01",6,3,3,4,1,1
"2022-07-01",5,3,3,3,1,1
"2022-08-01",4,3,2,3,1,0
"2022-09-01",5,3,4,4,2,1
"2022-10-01",6,3,6,4,2,1
"2022-11-01",6,3,5,4,2,1
"2022-12-01",5,3,3,2,1,1
"2023-01-01",5,3,4,3,1,1
"2023-02-01",6,4,5,4,2,1
"2023-03-01",6,4,5,4,1,1
"2023-04-01",5,3,4,3,2,1
"2023-05-01",6,3,4,4,1,1
"2023-06-01",5,3,3,3,1,1
"2023-07-01",4,3,3,3,1,1
"2023-08-01",4,3,3,2,1,1
"2023-09-01",6,3,5,3,1,1
"2023-10-01",6,3,6,4,2,1
"2023-11-01",6,3,5,3,1,1
"2023-12-01",5,3,4,3,1,1
"2024-01-01",5,3,5,4,1,1
"2024-02-01",6,4,6,4,2,1
"2024-03-01",6,3,6,4,2,1
"2024-04-01",7,4,5,4,2,1
"2024-05-01",5,3,4,4,2,1
"2024-06-01",5,3,4,4,1,1
"2024-07-01",5,3,3,3,1,1
"2024-08-01",5,3,4,4,2,1
"2024-09-01",6,3,6,5,2,1
"2024-10-01",7,4,8,5,2,1
"2024-11-01",7,3,6,5,2,1
"2024-12-01",6,3,4,3,1,1
"2025-01-01",5,3,4,4,2,1
"2025-02-01",7,4,7,5,2,1
"2025-03-01",7,4,7,5,3,1
"2025-04-01",7,3,6,4,2,1
"2025-05-01",6,3,5,4,2,1
"2025-06-01",6,3,4,4,2,1
"2025-07-01",9,5,4,3,3,1
"2025-08-01",30,17,6,4,8,2
"2025-09-01",34,17,9,5,14,2
"2025-10-01",35,17,10,5,13,2
"2025-11-01",46,22,9,5,13,2
"2025-12-01",41,21,8,5,11,2
"2026-01-01",42,24,7,5,11,2
"2026-02-01",53,29,11,7,13,3
"2026-03-01",60,37,12,7,14,3
"2026-04-01",100,59,12,7,14,3
"2026-05-01",99,57,13,8,15,3
"2026-06-01",30,18,6,4,4,1
