"Time","Danone","Danone","Abbott","Abbott","Nestlé","Nestlé"
"2021-06-01",12,1,1,0,70,11
"2021-07-01",12,1,1,0,69,14
"2021-08-01",11,4,3,0,56,30
"2021-09-01",11,5,5,0,55,27
"2021-10-01",10,5,11,0,50,33
"2021-11-01",10,5,13,0,46,33
"2021-12-01",9,4,25,0,49,38
"2022-01-01",11,6,29,0,44,38
"2022-02-01",12,7,17,0,47,37
"2022-03-01",16,6,15,0,65,39
"2022-04-01",13,5,13,0,66,39
"2022-05-01",12,5,17,0,46,33
"2022-06-01",11,5,15,0,46,32
"2022-07-01",11,4,14,0,49,33
"2022-08-01",11,5,13,0,50,29
"2022-09-01",11,5,13,0,50,33
"2022-10-01",11,5,14,13,42,36
"2022-11-01",11,4,13,12,40,38
"2022-12-01",9,4,12,11,40,46
"2023-01-01",11,5,12,13,39,36
"2023-02-01",12,5,13,13,44,39
"2023-03-01",12,4,11,15,52,45
"2023-04-01",12,3,10,14,52,40
"2023-05-01",13,3,3,16,52,60
"2023-06-01",12,3,2,14,55,60
"2023-07-01",13,5,3,15,52,29
"2023-08-01",12,12,3,15,50,35
"2023-09-01",12,7,2,15,53,29
"2023-10-01",14,2,2,17,64,20
"2023-11-01",15,1,2,17,69,17
"2023-12-01",12,1,1,14,61,22
"2024-01-01",14,2,1,17,65,17
"2024-02-01",14,2,1,19,62,19
"2024-03-01",14,2,4,17,58,23
"2024-04-01",13,2,8,18,60,21
"2024-05-01",13,1,15,18,52,20
"2024-06-01",12,1,9,16,50,18
"2024-07-01",13,1,9,17,54,20
"2024-08-01",13,1,11,16,56,22
"2024-09-01",13,2,9,17,52,21
"2024-10-01",14,1,2,17,53,22
"2024-11-01",13,1,8,18,48,23
"2024-12-01",11,1,5,21,52,22
"2025-01-01",13,1,2,17,61,17
"2025-02-01",14,2,2,17,65,18
"2025-03-01",14,2,2,17,61,20
"2025-04-01",13,3,2,16,65,19
"2025-05-01",13,6,2,16,58,18
"2025-06-01",12,8,3,17,54,19
"2025-07-01",13,8,13,19,54,20
"2025-08-01",16,2,15,20,70,22
"2025-09-01",17,2,15,21,84,22
"2025-10-01",17,2,17,22,74,21
"2025-11-01",15,2,13,21,64,22
"2025-12-01",13,2,13,22,74,18
"2026-01-01",18,3,3,19,100,16
"2026-02-01",19,3,3,22,81,14
"2026-03-01",18,3,10,23,81,26
"2026-04-01",16,2,22,25,88,19
"2026-05-01",16,2,7,24,75,20
"2026-06-01",14,2,12,18,66,10
