Category: All categories

Month,Knafeh: (Australia)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,7
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,4
2010-05,0
2010-06,0
2010-07,0
2010-08,4
2010-09,5
2010-10,0
2010-11,0
2010-12,0
2011-01,3
2011-02,0
2011-03,0
2011-04,3
2011-05,3
2011-06,4
2011-07,3
2011-08,7
2011-09,3
2011-10,3
2011-11,3
2011-12,0
2012-01,2
2012-02,3
2012-03,3
2012-04,4
2012-05,3
2012-06,5
2012-07,7
2012-08,6
2012-09,4
2012-10,2
2012-11,3
2012-12,0
2013-01,4
2013-02,4
2013-03,3
2013-04,4
2013-05,6
2013-06,5
2013-07,11
2013-08,5
2013-09,4
2013-10,5
2013-11,4
2013-12,3
2014-01,4
2014-02,4
2014-03,4
2014-04,6
2014-05,5
2014-06,6
2014-07,13
2014-08,5
2014-09,6
2014-10,22
2014-11,23
2014-12,14
2015-01,8
2015-02,14
2015-03,18
2015-04,29
2015-05,29
2015-06,72
2015-07,33
2015-08,33
2015-09,26
2015-10,41
2015-11,24
2015-12,22
2016-01,21
2016-02,28
2016-03,28
2016-04,38
2016-05,31
2016-06,45
2016-07,35
2016-08,35
2016-09,26
2016-10,29
2016-11,18
2016-12,22
2017-01,18
2017-02,21
2017-03,21
2017-04,19
2017-05,23
2017-06,32
2017-07,22
2017-08,15
2017-09,11
2017-10,10
2017-11,20
2017-12,13
2018-01,14
2018-02,48
2018-03,29
2018-04,28
2018-05,33
2018-06,32
2018-07,27
2018-08,25
2018-09,17
2018-10,20
2018-11,21
2018-12,20
2019-01,14
2019-02,19
2019-03,20
2019-04,27
2019-05,46
2019-06,33
2019-07,24
2019-08,23
2019-09,22
2019-10,21
2019-11,21
2019-12,21
2020-01,22
2020-02,19
2020-03,16
2020-04,39
2020-05,52
2020-06,34
2020-07,28
2020-08,25
2020-09,26
2020-10,25
2020-11,26
2020-12,24
2021-01,24
2021-02,22
2021-03,28
2021-04,40
2021-05,35
2021-06,30
2021-07,27
2021-08,24
2021-09,26
2021-10,23
2021-11,17
2021-12,19
2022-01,15
2022-02,17
2022-03,21
2022-04,66
2022-05,29
2022-06,30
2022-07,27
2022-08,30
2022-09,24
2022-10,25
2022-11,24
2022-12,23
2023-01,20
2023-02,19
2023-03,38
2023-04,70
2023-05,26
2023-06,27
2023-07,24
2023-08,21
2023-09,23
2023-10,22
2023-11,22
2023-12,24
2024-01,26
2024-02,22
2024-03,55
2024-04,45
2024-05,40
2024-06,47
2024-07,54
2024-08,46
2024-09,44
2024-10,37
2024-11,35
2024-12,35
2025-01,42
2025-02,60
2025-03,100
2025-04,66
2025-05,65
2025-06,55
2025-07,49
2025-08,47
2025-09,45
2025-10,38
2025-11,39
2025-12,36
2026-01,38
2026-02,69
2026-03,55
2026-04,37
2026-05,33
2026-06,32
