Category: All categories

Month,Knafeh: (Germany)
2004-01,13
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,4
2006-10,6
2006-11,0
2006-12,4
2007-01,4
2007-02,0
2007-03,3
2007-04,4
2007-05,0
2007-06,3
2007-07,3
2007-08,4
2007-09,6
2007-10,6
2007-11,4
2007-12,6
2008-01,3
2008-02,5
2008-03,4
2008-04,4
2008-05,3
2008-06,3
2008-07,2
2008-08,4
2008-09,14
2008-10,4
2008-11,4
2008-12,5
2009-01,10
2009-02,7
2009-03,6
2009-04,6
2009-05,7
2009-06,8
2009-07,7
2009-08,15
2009-09,16
2009-10,6
2009-11,7
2009-12,8
2010-01,8
2010-02,8
2010-03,7
2010-04,7
2010-05,6
2010-06,7
2010-07,7
2010-08,24
2010-09,9
2010-10,6
2010-11,7
2010-12,7
2011-01,8
2011-02,7
2011-03,6
2011-04,6
2011-05,7
2011-06,6
2011-07,7
2011-08,18
2011-09,7
2011-10,7
2011-11,7
2011-12,9
2012-01,8
2012-02,8
2012-03,8
2012-04,10
2012-05,7
2012-06,9
2012-07,16
2012-08,18
2012-09,9
2012-10,8
2012-11,9
2012-12,10
2013-01,10
2013-02,10
2013-03,9
2013-04,10
2013-05,10
2013-06,10
2013-07,22
2013-08,12
2013-09,8
2013-10,10
2013-11,10
2013-12,12
2014-01,12
2014-02,13
2014-03,11
2014-04,14
2014-05,21
2014-06,12
2014-07,21
2014-08,11
2014-09,9
2014-10,11
2014-11,13
2014-12,13
2015-01,15
2015-02,13
2015-03,14
2015-04,14
2015-05,17
2015-06,24
2015-07,21
2015-08,13
2015-09,12
2015-10,14
2015-11,13
2015-12,17
2016-01,20
2016-02,18
2016-03,20
2016-04,20
2016-05,19
2016-06,41
2016-07,22
2016-08,16
2016-09,18
2016-10,22
2016-11,19
2016-12,24
2017-01,22
2017-02,22
2017-03,21
2017-04,26
2017-05,27
2017-06,40
2017-07,21
2017-08,19
2017-09,20
2017-10,21
2017-11,22
2017-12,26
2018-01,27
2018-02,26
2018-03,25
2018-04,24
2018-05,33
2018-06,27
2018-07,18
2018-08,20
2018-09,22
2018-10,25
2018-11,23
2018-12,28
2019-01,24
2019-02,24
2019-03,25
2019-04,23
2019-05,48
2019-06,28
2019-07,23
2019-08,24
2019-09,26
2019-10,27
2019-11,26
2019-12,31
2020-01,30
2020-02,31
2020-03,25
2020-04,33
2020-05,53
2020-06,27
2020-07,31
2020-08,29
2020-09,32
2020-10,28
2020-11,28
2020-12,30
2021-01,34
2021-02,27
2021-03,33
2021-04,29
2021-05,32
2021-06,25
2021-07,29
2021-08,27
2021-09,34
2021-10,34
2021-11,31
2021-12,30
2022-01,39
2022-02,36
2022-03,33
2022-04,63
2022-05,34
2022-06,31
2022-07,30
2022-08,32
2022-09,31
2022-10,33
2022-11,31
2022-12,32
2023-01,37
2023-02,38
2023-03,44
2023-04,61
2023-05,30
2023-06,26
2023-07,24
2023-08,31
2023-09,30
2023-10,34
2023-11,31
2023-12,33
2024-01,33
2024-02,34
2024-03,55
2024-04,49
2024-05,46
2024-06,46
2024-07,47
2024-08,51
2024-09,76
2024-10,76
2024-11,100
2024-12,82
2025-01,45
2025-02,42
2025-03,59
2025-04,35
2025-05,37
2025-06,28
2025-07,28
2025-08,30
2025-09,29
2025-10,35
2025-11,37
2025-12,40
2026-01,34
2026-02,76
2026-03,44
2026-04,29
2026-05,27
2026-06,24
