Category: All categories

Month,Knafeh: (France)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,9
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,3
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,5
2008-10,0
2008-11,0
2008-12,0
2009-01,3
2009-02,5
2009-03,4
2009-04,3
2009-05,3
2009-06,3
2009-07,3
2009-08,9
2009-09,9
2009-10,3
2009-11,5
2009-12,3
2010-01,4
2010-02,3
2010-03,3
2010-04,3
2010-05,4
2010-06,3
2010-07,4
2010-08,14
2010-09,5
2010-10,4
2010-11,6
2010-12,5
2011-01,2
2011-02,3
2011-03,4
2011-04,3
2011-05,2
2011-06,2
2011-07,2
2011-08,8
2011-09,3
2011-10,3
2011-11,3
2011-12,4
2012-01,2
2012-02,3
2012-03,3
2012-04,3
2012-05,4
2012-06,3
2012-07,6
2012-08,8
2012-09,4
2012-10,3
2012-11,3
2012-12,4
2013-01,5
2013-02,4
2013-03,5
2013-04,4
2013-05,4
2013-06,4
2013-07,9
2013-08,5
2013-09,3
2013-10,3
2013-11,4
2013-12,4
2014-01,4
2014-02,4
2014-03,4
2014-04,4
2014-05,5
2014-06,6
2014-07,13
2014-08,5
2014-09,4
2014-10,4
2014-11,6
2014-12,8
2015-01,8
2015-02,11
2015-03,9
2015-04,9
2015-05,10
2015-06,24
2015-07,9
2015-08,5
2015-09,6
2015-10,5
2015-11,6
2015-12,6
2016-01,7
2016-02,7
2016-03,7
2016-04,9
2016-05,7
2016-06,17
2016-07,8
2016-08,6
2016-09,7
2016-10,7
2016-11,10
2016-12,13
2017-01,11
2017-02,12
2017-03,10
2017-04,13
2017-05,18
2017-06,26
2017-07,12
2017-08,12
2017-09,11
2017-10,12
2017-11,13
2017-12,16
2018-01,13
2018-02,16
2018-03,19
2018-04,14
2018-05,30
2018-06,23
2018-07,11
2018-08,13
2018-09,11
2018-10,15
2018-11,17
2018-12,16
2019-01,17
2019-02,20
2019-03,17
2019-04,23
2019-05,51
2019-06,20
2019-07,13
2019-08,16
2019-09,17
2019-10,19
2019-11,18
2019-12,25
2020-01,21
2020-02,26
2020-03,21
2020-04,40
2020-05,59
2020-06,18
2020-07,19
2020-08,21
2020-09,20
2020-10,23
2020-11,20
2020-12,20
2021-01,19
2021-02,20
2021-03,20
2021-04,54
2021-05,35
2021-06,17
2021-07,19
2021-08,21
2021-09,17
2021-10,28
2021-11,24
2021-12,24
2022-01,23
2022-02,27
2022-03,29
2022-04,64
2022-05,27
2022-06,20
2022-07,18
2022-08,22
2022-09,48
2022-10,24
2022-11,23
2022-12,23
2023-01,24
2023-02,27
2023-03,39
2023-04,60
2023-05,26
2023-06,21
2023-07,20
2023-08,22
2023-09,20
2023-10,21
2023-11,23
2023-12,22
2024-01,26
2024-02,29
2024-03,58
2024-04,39
2024-05,32
2024-06,25
2024-07,21
2024-08,26
2024-09,28
2024-10,33
2024-11,36
2024-12,35
2025-01,32
2025-02,50
2025-03,100
2025-04,51
2025-05,38
2025-06,26
2025-07,27
2025-08,30
2025-09,26
2025-10,31
2025-11,31
2025-12,36
2026-01,32
2026-02,82
2026-03,56
2026-04,29
2026-05,27
2026-06,19
