Category: All categories

Month,Knafeh: (Japan)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,43
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,30
2009-07,0
2009-08,48
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,80
2010-09,0
2010-10,0
2010-11,0
2010-12,36
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,9
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,12
2015-08,0
2015-09,0
2015-10,7
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,6
2016-04,8
2016-05,0
2016-06,9
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,39
2016-12,38
2017-01,27
2017-02,27
2017-03,33
2017-04,25
2017-05,33
2017-06,45
2017-07,32
2017-08,32
2017-09,36
2017-10,40
2017-11,51
2017-12,45
2018-01,30
2018-02,31
2018-03,28
2018-04,38
2018-05,30
2018-06,36
2018-07,33
2018-08,39
2018-09,31
2018-10,26
2018-11,37
2018-12,41
2019-01,15
2019-02,0
2019-03,0
2019-04,7
2019-05,44
2019-06,8
2019-07,6
2019-08,8
2019-09,7
2019-10,6
2019-11,6
2019-12,6
2020-01,9
2020-02,25
2020-03,25
2020-04,33
2020-05,20
2020-06,29
2020-07,22
2020-08,14
2020-09,24
2020-10,21
2020-11,23
2020-12,8
2021-01,19
2021-02,24
2021-03,10
2021-04,41
2021-05,11
2021-06,11
2021-07,16
2021-08,14
2021-09,0
2021-10,16
2021-11,9
2021-12,12
2022-01,18
2022-02,12
2022-03,11
2022-04,12
2022-05,12
2022-06,18
2022-07,13
2022-08,15
2022-09,26
2022-10,12
2022-11,30
2022-12,27
2023-01,20
2023-02,18
2023-03,15
2023-04,15
2023-05,14
2023-06,26
2023-07,15
2023-08,11
2023-09,21
2023-10,26
2023-11,23
2023-12,25
2024-01,35
2024-02,24
2024-03,40
2024-04,21
2024-05,24
2024-06,20
2024-07,23
2024-08,40
2024-09,32
2024-10,52
2024-11,83
2024-12,48
2025-01,41
2025-02,64
2025-03,100
2025-04,79
2025-05,44
2025-06,44
2025-07,36
2025-08,36
2025-09,32
2025-10,40
2025-11,50
2025-12,54
2026-01,48
2026-02,76
2026-03,59
2026-04,45
2026-05,32
2026-06,37
