Category: All categories

Month,Knafeh: (Singapore)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,56
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,17
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,2
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,2
2015-05,0
2015-06,2
2015-07,2
2015-08,0
2015-09,0
2015-10,0
2015-11,1
2015-12,0
2016-01,2
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,2
2016-08,2
2016-09,0
2016-10,2
2016-11,1
2016-12,2
2017-01,3
2017-02,3
2017-03,2
2017-04,2
2017-05,2
2017-06,3
2017-07,3
2017-08,2
2017-09,3
2017-10,2
2017-11,3
2017-12,3
2018-01,2
2018-02,3
2018-03,3
2018-04,2
2018-05,3
2018-06,3
2018-07,3
2018-08,4
2018-09,3
2018-10,3
2018-11,4
2018-12,3
2019-01,3
2019-02,3
2019-03,3
2019-04,3
2019-05,6
2019-06,6
2019-07,5
2019-08,6
2019-09,6
2019-10,6
2019-11,6
2019-12,6
2020-01,7
2020-02,6
2020-03,5
2020-04,7
2020-05,12
2020-06,8
2020-07,11
2020-08,11
2020-09,10
2020-10,9
2020-11,10
2020-12,12
2021-01,12
2021-02,10
2021-03,13
2021-04,14
2021-05,10
2021-06,7
2021-07,8
2021-08,5
2021-09,8
2021-10,7
2021-11,9
2021-12,13
2022-01,10
2022-02,10
2022-03,14
2022-04,15
2022-05,8
2022-06,14
2022-07,17
2022-08,13
2022-09,12
2022-10,10
2022-11,10
2022-12,13
2023-01,9
2023-02,8
2023-03,9
2023-04,11
2023-05,7
2023-06,9
2023-07,5
2023-08,6
2023-09,8
2023-10,8
2023-11,7
2023-12,8
2024-01,8
2024-02,9
2024-03,30
2024-04,19
2024-05,16
2024-06,27
2024-07,54
2024-08,100
2024-09,68
2024-10,45
2024-11,39
2024-12,40
2025-01,40
2025-02,49
2025-03,82
2025-04,34
2025-05,31
2025-06,28
2025-07,19
2025-08,21
2025-09,21
2025-10,19
2025-11,22
2025-12,23
2026-01,26
2026-02,39
2026-03,32
2026-04,27
2026-05,26
2026-06,22
