Category: All categories

Month,Knafeh: (United Arab Emirates)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,19
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,11
2007-09,23
2007-10,13
2007-11,0
2007-12,0
2008-01,8
2008-02,10
2008-03,8
2008-04,0
2008-05,0
2008-06,10
2008-07,0
2008-08,10
2008-09,48
2008-10,7
2008-11,6
2008-12,7
2009-01,8
2009-02,11
2009-03,9
2009-04,8
2009-05,7
2009-06,6
2009-07,8
2009-08,47
2009-09,34
2009-10,9
2009-11,6
2009-12,9
2010-01,8
2010-02,9
2010-03,12
2010-04,8
2010-05,7
2010-06,7
2010-07,12
2010-08,64
2010-09,22
2010-10,8
2010-11,10
2010-12,9
2011-01,8
2011-02,8
2011-03,11
2011-04,9
2011-05,9
2011-06,9
2011-07,19
2011-08,63
2011-09,8
2011-10,9
2011-11,9
2011-12,10
2012-01,10
2012-02,12
2012-03,11
2012-04,10
2012-05,11
2012-06,13
2012-07,48
2012-08,39
2012-09,10
2012-10,10
2012-11,10
2012-12,13
2013-01,14
2013-02,16
2013-03,16
2013-04,15
2013-05,16
2013-06,17
2013-07,71
2013-08,20
2013-09,11
2013-10,11
2013-11,12
2013-12,12
2014-01,13
2014-02,16
2014-03,14
2014-04,14
2014-05,15
2014-06,25
2014-07,64
2014-08,16
2014-09,12
2014-10,14
2014-11,14
2014-12,15
2015-01,15
2015-02,17
2015-03,18
2015-04,21
2015-05,18
2015-06,61
2015-07,39
2015-08,14
2015-09,13
2015-10,13
2015-11,15
2015-12,18
2016-01,21
2016-02,20
2016-03,16
2016-04,21
2016-05,24
2016-06,82
2016-07,23
2016-08,17
2016-09,16
2016-10,16
2016-11,18
2016-12,22
2017-01,23
2017-02,24
2017-03,20
2017-04,23
2017-05,40
2017-06,74
2017-07,19
2017-08,17
2017-09,20
2017-10,21
2017-11,23
2017-12,29
2018-01,28
2018-02,28
2018-03,27
2018-04,30
2018-05,69
2018-06,49
2018-07,22
2018-08,22
2018-09,21
2018-10,21
2018-11,25
2018-12,28
2019-01,29
2019-02,28
2019-03,29
2019-04,28
2019-05,79
2019-06,27
2019-07,21
2019-08,23
2019-09,20
2019-10,25
2019-11,27
2019-12,30
2020-01,31
2020-02,29
2020-03,28
2020-04,62
2020-05,82
2020-06,27
2020-07,28
2020-08,28
2020-09,26
2020-10,27
2020-11,25
2020-12,36
2021-01,36
2021-02,27
2021-03,33
2021-04,64
2021-05,38
2021-06,22
2021-07,21
2021-08,20
2021-09,19
2021-10,21
2021-11,24
2021-12,27
2022-01,27
2022-02,27
2022-03,24
2022-04,61
2022-05,22
2022-06,23
2022-07,21
2022-08,22
2022-09,17
2022-10,20
2022-11,19
2022-12,24
2023-01,23
2023-02,26
2023-03,42
2023-04,50
2023-05,20
2023-06,20
2023-07,20
2023-08,18
2023-09,19
2023-10,19
2023-11,20
2023-12,24
2024-01,25
2024-02,25
2024-03,51
2024-04,27
2024-05,30
2024-06,38
2024-07,65
2024-08,69
2024-09,69
2024-10,70
2024-11,77
2024-12,83
2025-01,77
2025-02,72
2025-03,100
2025-04,53
2025-05,52
2025-06,51
2025-07,50
2025-08,42
2025-09,37
2025-10,38
2025-11,42
2025-12,49
2026-01,42
2026-02,56
2026-03,43
2026-04,25
2026-05,26
2026-06,23
