Category: All categories

Month,Knafeh: (United Kingdom)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,1
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,3
2008-10,1
2008-11,2
2008-12,0
2009-01,1
2009-02,0
2009-03,1
2009-04,1
2009-05,1
2009-06,3
2009-07,3
2009-08,6
2009-09,5
2009-10,2
2009-11,2
2009-12,2
2010-01,2
2010-02,2
2010-03,3
2010-04,2
2010-05,3
2010-06,3
2010-07,3
2010-08,10
2010-09,3
2010-10,3
2010-11,3
2010-12,3
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,5
2011-09,1
2011-10,1
2011-11,2
2011-12,1
2012-01,2
2012-02,2
2012-03,2
2012-04,2
2012-05,1
2012-06,1
2012-07,4
2012-08,4
2012-09,1
2012-10,1
2012-11,1
2012-12,2
2013-01,1
2013-02,2
2013-03,2
2013-04,2
2013-05,2
2013-06,2
2013-07,4
2013-08,3
2013-09,1
2013-10,1
2013-11,2
2013-12,1
2014-01,3
2014-02,2
2014-03,2
2014-04,2
2014-05,2
2014-06,3
2014-07,6
2014-08,2
2014-09,2
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,3
2015-05,3
2015-06,6
2015-07,4
2015-08,3
2015-09,2
2015-10,3
2015-11,2
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,4
2016-06,8
2016-07,4
2016-08,4
2016-09,3
2016-10,3
2016-11,4
2016-12,5
2017-01,5
2017-02,5
2017-03,6
2017-04,5
2017-05,7
2017-06,11
2017-07,6
2017-08,5
2017-09,4
2017-10,5
2017-11,6
2017-12,6
2018-01,5
2018-02,5
2018-03,6
2018-04,6
2018-05,10
2018-06,9
2018-07,5
2018-08,7
2018-09,5
2018-10,6
2018-11,6
2018-12,7
2019-01,7
2019-02,7
2019-03,8
2019-04,7
2019-05,15
2019-06,9
2019-07,6
2019-08,8
2019-09,9
2019-10,8
2019-11,8
2019-12,8
2020-01,7
2020-02,9
2020-03,6
2020-04,11
2020-05,18
2020-06,8
2020-07,9
2020-08,10
2020-09,9
2020-10,10
2020-11,7
2020-12,9
2021-01,8
2021-02,9
2021-03,9
2021-04,13
2021-05,13
2021-06,9
2021-07,9
2021-08,9
2021-09,9
2021-10,10
2021-11,9
2021-12,10
2022-01,9
2022-02,11
2022-03,11
2022-04,21
2022-05,11
2022-06,10
2022-07,9
2022-08,9
2022-09,9
2022-10,10
2022-11,9
2022-12,10
2023-01,10
2023-02,11
2023-03,14
2023-04,19
2023-05,11
2023-06,10
2023-07,10
2023-08,11
2023-09,10
2023-10,11
2023-11,12
2023-12,12
2024-01,12
2024-02,14
2024-03,22
2024-04,20
2024-05,29
2024-06,44
2024-07,38
2024-08,32
2024-09,29
2024-10,32
2024-11,33
2024-12,41
2025-01,49
2025-02,77
2025-03,100
2025-04,69
2025-05,53
2025-06,38
2025-07,35
2025-08,37
2025-09,29
2025-10,30
2025-11,25
2025-12,33
2026-01,29
2026-02,69
2026-03,34
2026-04,21
2026-05,21
2026-06,18
