Category: All categories

Month,Knafeh: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,3
2005-08,0
2005-09,0
2005-10,3
2005-11,3
2005-12,0
2006-01,0
2006-02,0
2006-03,3
2006-04,0
2006-05,2
2006-06,0
2006-07,0
2006-08,3
2006-09,3
2006-10,3
2006-11,0
2006-12,0
2007-01,1
2007-02,0
2007-03,2
2007-04,3
2007-05,1
2007-06,2
2007-07,2
2007-08,1
2007-09,3
2007-10,2
2007-11,2
2007-12,2
2008-01,3
2008-02,2
2008-03,2
2008-04,2
2008-05,1
2008-06,3
2008-07,2
2008-08,3
2008-09,5
2008-10,2
2008-11,2
2008-12,3
2009-01,2
2009-02,3
2009-03,3
2009-04,3
2009-05,4
2009-06,4
2009-07,5
2009-08,12
2009-09,10
2009-10,4
2009-11,4
2009-12,5
2010-01,6
2010-02,5
2010-03,5
2010-04,6
2010-05,6
2010-06,6
2010-07,7
2010-08,18
2010-09,8
2010-10,7
2010-11,6
2010-12,6
2011-01,4
2011-02,5
2011-03,4
2011-04,4
2011-05,4
2011-06,3
2011-07,4
2011-08,9
2011-09,4
2011-10,4
2011-11,5
2011-12,4
2012-01,4
2012-02,4
2012-03,4
2012-04,6
2012-05,4
2012-06,4
2012-07,8
2012-08,8
2012-09,4
2012-10,4
2012-11,5
2012-12,6
2013-01,6
2013-02,6
2013-03,6
2013-04,6
2013-05,6
2013-06,5
2013-07,13
2013-08,8
2013-09,5
2013-10,6
2013-11,7
2013-12,7
2014-01,6
2014-02,7
2014-03,8
2014-04,7
2014-05,7
2014-06,9
2014-07,18
2014-08,7
2014-09,6
2014-10,7
2014-11,8
2014-12,9
2015-01,8
2015-02,8
2015-03,9
2015-04,8
2015-05,8
2015-06,13
2015-07,13
2015-08,7
2015-09,7
2015-10,7
2015-11,8
2015-12,9
2016-01,9
2016-02,9
2016-03,8
2016-04,9
2016-05,10
2016-06,18
2016-07,10
2016-08,9
2016-09,8
2016-10,8
2016-11,9
2016-12,12
2017-01,13
2017-02,13
2017-03,12
2017-04,13
2017-05,15
2017-06,21
2017-07,11
2017-08,11
2017-09,10
2017-10,10
2017-11,14
2017-12,14
2018-01,12
2018-02,13
2018-03,13
2018-04,12
2018-05,17
2018-06,15
2018-07,12
2018-08,12
2018-09,12
2018-10,12
2018-11,14
2018-12,14
2019-01,15
2019-02,14
2019-03,13
2019-04,13
2019-05,23
2019-06,19
2019-07,16
2019-08,16
2019-09,16
2019-10,14
2019-11,14
2019-12,16
2020-01,15
2020-02,17
2020-03,13
2020-04,23
2020-05,28
2020-06,15
2020-07,17
2020-08,17
2020-09,16
2020-10,16
2020-11,15
2020-12,16
2021-01,17
2021-02,16
2021-03,17
2021-04,26
2021-05,23
2021-06,14
2021-07,15
2021-08,15
2021-09,14
2021-10,16
2021-11,18
2021-12,18
2022-01,17
2022-02,16
2022-03,20
2022-04,28
2022-05,18
2022-06,19
2022-07,17
2022-08,17
2022-09,17
2022-10,17
2022-11,17
2022-12,18
2023-01,21
2023-02,20
2023-03,25
2023-04,29
2023-05,20
2023-06,19
2023-07,20
2023-08,17
2023-09,16
2023-10,19
2023-11,22
2023-12,23
2024-01,26
2024-02,26
2024-03,35
2024-04,38
2024-05,47
2024-06,65
2024-07,75
2024-08,56
2024-09,43
2024-10,36
2024-11,41
2024-12,43
2025-01,45
2025-02,80
2025-03,90
2025-04,53
2025-05,47
2025-06,41
2025-07,47
2025-08,43
2025-09,36
2025-10,37
2025-11,40
2025-12,48
2026-01,59
2026-02,100
2026-03,44
2026-04,40
2026-05,39
2026-06,57
