Category: All categories

Month,Pistachio: (Australia)
2004-01,0
2004-02,18
2004-03,19
2004-04,0
2004-05,10
2004-06,10
2004-07,8
2004-08,7
2004-09,0
2004-10,0
2004-11,0
2004-12,14
2005-01,7
2005-02,0
2005-03,10
2005-04,9
2005-05,9
2005-06,12
2005-07,8
2005-08,9
2005-09,7
2005-10,10
2005-11,4
2005-12,10
2006-01,8
2006-02,7
2006-03,9
2006-04,10
2006-05,9
2006-06,5
2006-07,7
2006-08,6
2006-09,7
2006-10,7
2006-11,8
2006-12,13
2007-01,7
2007-02,8
2007-03,9
2007-04,5
2007-05,9
2007-06,8
2007-07,7
2007-08,9
2007-09,10
2007-10,7
2007-11,10
2007-12,12
2008-01,9
2008-02,8
2008-03,8
2008-04,9
2008-05,8
2008-06,8
2008-07,9
2008-08,9
2008-09,9
2008-10,9
2008-11,11
2008-12,12
2009-01,11
2009-02,8
2009-03,9
2009-04,11
2009-05,11
2009-06,11
2009-07,12
2009-08,11
2009-09,11
2009-10,11
2009-11,12
2009-12,19
2010-01,10
2010-02,10
2010-03,12
2010-04,12
2010-05,12
2010-06,14
2010-07,16
2010-08,10
2010-09,11
2010-10,14
2010-11,12
2010-12,23
2011-01,14
2011-02,13
2011-03,13
2011-04,13
2011-05,14
2011-06,13
2011-07,14
2011-08,14
2011-09,14
2011-10,15
2011-11,14
2011-12,28
2012-01,14
2012-02,14
2012-03,14
2012-04,16
2012-05,17
2012-06,18
2012-07,18
2012-08,17
2012-09,14
2012-10,15
2012-11,17
2012-12,32
2013-01,18
2013-02,19
2013-03,18
2013-04,17
2013-05,18
2013-06,19
2013-07,20
2013-08,22
2013-09,19
2013-10,17
2013-11,19
2013-12,35
2014-01,18
2014-02,17
2014-03,16
2014-04,20
2014-05,23
2014-06,18
2014-07,18
2014-08,18
2014-09,18
2014-10,17
2014-11,18
2014-12,31
2015-01,18
2015-02,17
2015-03,17
2015-04,16
2015-05,18
2015-06,17
2015-07,17
2015-08,17
2015-09,18
2015-10,17
2015-11,19
2015-12,31
2016-01,20
2016-02,19
2016-03,18
2016-04,19
2016-05,21
2016-06,19
2016-07,20
2016-08,18
2016-09,18
2016-10,19
2016-11,20
2016-12,35
2017-01,21
2017-02,21
2017-03,19
2017-04,21
2017-05,21
2017-06,24
2017-07,24
2017-08,22
2017-09,22
2017-10,21
2017-11,21
2017-12,37
2018-01,22
2018-02,22
2018-03,24
2018-04,23
2018-05,24
2018-06,25
2018-07,25
2018-08,23
2018-09,22
2018-10,22
2018-11,26
2018-12,38
2019-01,23
2019-02,23
2019-03,27
2019-04,25
2019-05,26
2019-06,25
2019-07,26
2019-08,26
2019-09,24
2019-10,25
2019-11,28
2019-12,40
2020-01,24
2020-02,24
2020-03,20
2020-04,26
2020-05,33
2020-06,30
2020-07,29
2020-08,31
2020-09,29
2020-10,30
2020-11,27
2020-12,43
2021-01,29
2021-02,26
2021-03,28
2021-04,27
2021-05,27
2021-06,26
2021-07,28
2021-08,29
2021-09,27
2021-10,26
2021-11,29
2021-12,38
2022-01,27
2022-02,27
2022-03,27
2022-04,29
2022-05,25
2022-06,26
2022-07,27
2022-08,26
2022-09,29
2022-10,31
2022-11,31
2022-12,43
2023-01,32
2023-02,32
2023-03,34
2023-04,39
2023-05,33
2023-06,30
2023-07,35
2023-08,34
2023-09,38
2023-10,36
2023-11,40
2023-12,52
2024-01,41
2024-02,39
2024-03,44
2024-04,48
2024-05,58
2024-06,58
2024-07,56
2024-08,65
2024-09,62
2024-10,62
2024-11,59
2024-12,76
2025-01,63
2025-02,85
2025-03,89
2025-04,86
2025-05,84
2025-06,98
2025-07,99
2025-08,92
2025-09,97
2025-10,85
2025-11,85
2025-12,100
2026-01,71
2026-02,64
2026-03,68
2026-04,64
2026-05,64
2026-06,63
