Category: All categories

Month,Pistachio: (Germany)
2004-01,5
2004-02,7
2004-03,6
2004-04,3
2004-05,0
2004-06,3
2004-07,6
2004-08,6
2004-09,3
2004-10,4
2004-11,3
2004-12,7
2005-01,5
2005-02,5
2005-03,4
2005-04,4
2005-05,4
2005-06,4
2005-07,2
2005-08,7
2005-09,5
2005-10,5
2005-11,6
2005-12,6
2006-01,4
2006-02,4
2006-03,5
2006-04,4
2006-05,4
2006-06,5
2006-07,5
2006-08,5
2006-09,5
2006-10,4
2006-11,5
2006-12,6
2007-01,4
2007-02,5
2007-03,5
2007-04,5
2007-05,6
2007-06,5
2007-07,5
2007-08,5
2007-09,5
2007-10,6
2007-11,6
2007-12,7
2008-01,6
2008-02,5
2008-03,6
2008-04,7
2008-05,6
2008-06,7
2008-07,7
2008-08,8
2008-09,8
2008-10,8
2008-11,9
2008-12,9
2009-01,8
2009-02,7
2009-03,8
2009-04,9
2009-05,9
2009-06,9
2009-07,10
2009-08,10
2009-09,10
2009-10,9
2009-11,10
2009-12,12
2010-01,9
2010-02,10
2010-03,11
2010-04,11
2010-05,11
2010-06,11
2010-07,11
2010-08,10
2010-09,11
2010-10,12
2010-11,13
2010-12,13
2011-01,7
2011-02,7
2011-03,7
2011-04,6
2011-05,7
2011-06,7
2011-07,7
2011-08,7
2011-09,7
2011-10,8
2011-11,9
2011-12,10
2012-01,9
2012-02,9
2012-03,10
2012-04,12
2012-05,10
2012-06,9
2012-07,9
2012-08,8
2012-09,8
2012-10,9
2012-11,10
2012-12,12
2013-01,10
2013-02,10
2013-03,11
2013-04,10
2013-05,10
2013-06,10
2013-07,9
2013-08,11
2013-09,9
2013-10,12
2013-11,13
2013-12,18
2014-01,14
2014-02,14
2014-03,13
2014-04,14
2014-05,14
2014-06,12
2014-07,12
2014-08,13
2014-09,12
2014-10,15
2014-11,16
2014-12,16
2015-01,14
2015-02,14
2015-03,15
2015-04,14
2015-05,14
2015-06,13
2015-07,12
2015-08,13
2015-09,13
2015-10,14
2015-11,17
2015-12,18
2016-01,15
2016-02,15
2016-03,16
2016-04,15
2016-05,15
2016-06,14
2016-07,14
2016-08,16
2016-09,15
2016-10,15
2016-11,17
2016-12,20
2017-01,18
2017-02,18
2017-03,18
2017-04,19
2017-05,17
2017-06,17
2017-07,16
2017-08,17
2017-09,17
2017-10,18
2017-11,20
2017-12,22
2018-01,19
2018-02,18
2018-03,20
2018-04,18
2018-05,18
2018-06,18
2018-07,17
2018-08,17
2018-09,18
2018-10,19
2018-11,21
2018-12,25
2019-01,20
2019-02,20
2019-03,21
2019-04,20
2019-05,21
2019-06,21
2019-07,19
2019-08,19
2019-09,21
2019-10,23
2019-11,25
2019-12,26
2020-01,23
2020-02,22
2020-03,21
2020-04,26
2020-05,25
2020-06,22
2020-07,22
2020-08,23
2020-09,24
2020-10,24
2020-11,27
2020-12,32
2021-01,25
2021-02,26
2021-03,27
2021-04,27
2021-05,28
2021-06,23
2021-07,24
2021-08,24
2021-09,24
2021-10,26
2021-11,26
2021-12,33
2022-01,29
2022-02,29
2022-03,27
2022-04,30
2022-05,29
2022-06,26
2022-07,25
2022-08,28
2022-09,26
2022-10,28
2022-11,32
2022-12,35
2023-01,31
2023-02,31
2023-03,38
2023-04,44
2023-05,37
2023-06,32
2023-07,34
2023-08,37
2023-09,35
2023-10,35
2023-11,46
2023-12,50
2024-01,41
2024-02,46
2024-03,63
2024-04,58
2024-05,60
2024-06,55
2024-07,51
2024-08,64
2024-09,72
2024-10,75
2024-11,100
2024-12,91
2025-01,62
2025-02,63
2025-03,71
2025-04,69
2025-05,60
2025-06,55
2025-07,53
2025-08,53
2025-09,52
2025-10,56
2025-11,63
2025-12,75
2026-01,54
2026-02,59
2026-03,68
2026-04,60
2026-05,54
2026-06,50
