Category: All categories

Month,Pistachio: (France)
2004-01,0
2004-02,0
2004-03,19
2004-04,20
2004-05,20
2004-06,18
2004-07,18
2004-08,0
2004-09,17
2004-10,14
2004-11,0
2004-12,18
2005-01,12
2005-02,14
2005-03,13
2005-04,21
2005-05,15
2005-06,14
2005-07,17
2005-08,17
2005-09,12
2005-10,15
2005-11,15
2005-12,22
2006-01,11
2006-02,16
2006-03,10
2006-04,18
2006-05,14
2006-06,14
2006-07,18
2006-08,17
2006-09,15
2006-10,19
2006-11,19
2006-12,21
2007-01,15
2007-02,14
2007-03,13
2007-04,20
2007-05,16
2007-06,14
2007-07,17
2007-08,19
2007-09,16
2007-10,17
2007-11,19
2007-12,21
2008-01,14
2008-02,17
2008-03,16
2008-04,19
2008-05,17
2008-06,17
2008-07,18
2008-08,20
2008-09,21
2008-10,19
2008-11,20
2008-12,24
2009-01,17
2009-02,18
2009-03,20
2009-04,20
2009-05,21
2009-06,20
2009-07,18
2009-08,23
2009-09,21
2009-10,19
2009-11,20
2009-12,26
2010-01,20
2010-02,19
2010-03,20
2010-04,22
2010-05,20
2010-06,17
2010-07,21
2010-08,24
2010-09,21
2010-10,21
2010-11,20
2010-12,27
2011-01,21
2011-02,22
2011-03,21
2011-04,22
2011-05,24
2011-06,25
2011-07,26
2011-08,26
2011-09,21
2011-10,21
2011-11,23
2011-12,31
2012-01,24
2012-02,23
2012-03,23
2012-04,25
2012-05,28
2012-06,28
2012-07,24
2012-08,27
2012-09,21
2012-10,23
2012-11,24
2012-12,38
2013-01,24
2013-02,25
2013-03,25
2013-04,25
2013-05,30
2013-06,32
2013-07,31
2013-08,30
2013-09,22
2013-10,26
2013-11,28
2013-12,38
2014-01,31
2014-02,26
2014-03,28
2014-04,33
2014-05,32
2014-06,29
2014-07,77
2014-08,35
2014-09,26
2014-10,32
2014-11,35
2014-12,44
2015-01,31
2015-02,32
2015-03,31
2015-04,36
2015-05,38
2015-06,32
2015-07,34
2015-08,46
2015-09,32
2015-10,32
2015-11,32
2015-12,45
2016-01,34
2016-02,33
2016-03,37
2016-04,37
2016-05,35
2016-06,37
2016-07,35
2016-08,35
2016-09,32
2016-10,34
2016-11,12
2016-12,11
2017-01,9
2017-02,12
2017-03,11
2017-04,15
2017-05,11
2017-06,12
2017-07,10
2017-08,14
2017-09,11
2017-10,11
2017-11,15
2017-12,12
2018-01,9
2018-02,10
2018-03,19
2018-04,14
2018-05,17
2018-06,17
2018-07,13
2018-08,18
2018-09,16
2018-10,14
2018-11,15
2018-12,14
2019-01,13
2019-02,16
2019-03,14
2019-04,17
2019-05,16
2019-06,20
2019-07,21
2019-08,20
2019-09,18
2019-10,17
2019-11,16
2019-12,15
2020-01,14
2020-02,14
2020-03,14
2020-04,18
2020-05,22
2020-06,16
2020-07,17
2020-08,19
2020-09,15
2020-10,13
2020-11,17
2020-12,17
2021-01,16
2021-02,15
2021-03,17
2021-04,19
2021-05,37
2021-06,19
2021-07,14
2021-08,20
2021-09,16
2021-10,19
2021-11,17
2021-12,17
2022-01,15
2022-02,17
2022-03,17
2022-04,18
2022-05,17
2022-06,19
2022-07,23
2022-08,25
2022-09,24
2022-10,27
2022-11,28
2022-12,23
2023-01,21
2023-02,23
2023-03,54
2023-04,57
2023-05,62
2023-06,54
2023-07,57
2023-08,62
2023-09,58
2023-10,53
2023-11,61
2023-12,56
2024-01,45
2024-02,57
2024-03,64
2024-04,64
2024-05,65
2024-06,58
2024-07,69
2024-08,71
2024-09,62
2024-10,72
2024-11,75
2024-12,83
2025-01,92
2025-02,91
2025-03,98
2025-04,100
2025-05,94
2025-06,81
2025-07,89
2025-08,86
2025-09,87
2025-10,76
2025-11,91
2025-12,87
2026-01,77
2026-02,88
2026-03,86
2026-04,86
2026-05,80
2026-06,70
