Category: All categories

Month,Pistachio: (Japan)
2004-01,3
2004-02,0
2004-03,0
2004-04,0
2004-05,2
2004-06,3
2004-07,2
2004-08,3
2004-09,2
2004-10,0
2004-11,3
2004-12,3
2005-01,4
2005-02,4
2005-03,3
2005-04,5
2005-05,4
2005-06,4
2005-07,3
2005-08,5
2005-09,2
2005-10,3
2005-11,3
2005-12,4
2006-01,4
2006-02,4
2006-03,3
2006-04,3
2006-05,5
2006-06,3
2006-07,4
2006-08,5
2006-09,6
2006-10,5
2006-11,5
2006-12,4
2007-01,4
2007-02,6
2007-03,5
2007-04,4
2007-05,4
2007-06,5
2007-07,3
2007-08,4
2007-09,3
2007-10,5
2007-11,4
2007-12,5
2008-01,5
2008-02,5
2008-03,4
2008-04,5
2008-05,5
2008-06,6
2008-07,5
2008-08,6
2008-09,6
2008-10,5
2008-11,6
2008-12,6
2009-01,6
2009-02,8
2009-03,7
2009-04,7
2009-05,7
2009-06,7
2009-07,6
2009-08,6
2009-09,6
2009-10,8
2009-11,7
2009-12,7
2010-01,7
2010-02,7
2010-03,6
2010-04,6
2010-05,8
2010-06,7
2010-07,6
2010-08,6
2010-09,7
2010-10,8
2010-11,8
2010-12,8
2011-01,5
2011-02,6
2011-03,5
2011-04,6
2011-05,6
2011-06,6
2011-07,4
2011-08,5
2011-09,5
2011-10,5
2011-11,6
2011-12,7
2012-01,7
2012-02,7
2012-03,6
2012-04,6
2012-05,6
2012-06,6
2012-07,5
2012-08,5
2012-09,6
2012-10,7
2012-11,6
2012-12,6
2013-01,9
2013-02,7
2013-03,7
2013-04,7
2013-05,7
2013-06,6
2013-07,6
2013-08,6
2013-09,6
2013-10,7
2013-11,8
2013-12,7
2014-01,8
2014-02,8
2014-03,7
2014-04,8
2014-05,8
2014-06,8
2014-07,6
2014-08,8
2014-09,17
2014-10,20
2014-11,12
2014-12,26
2015-01,100
2015-02,53
2015-03,77
2015-04,51
2015-05,50
2015-06,34
2015-07,47
2015-08,34
2015-09,32
2015-10,33
2015-11,24
2015-12,39
2016-01,26
2016-02,22
2016-03,14
2016-04,12
2016-05,12
2016-06,10
2016-07,9
2016-08,9
2016-09,9
2016-10,10
2016-11,13
2016-12,15
2017-01,10
2017-02,12
2017-03,11
2017-04,9
2017-05,8
2017-06,9
2017-07,7
2017-08,8
2017-09,9
2017-10,8
2017-11,19
2017-12,15
2018-01,8
2018-02,10
2018-03,9
2018-04,9
2018-05,9
2018-06,9
2018-07,8
2018-08,8
2018-09,8
2018-10,8
2018-11,11
2018-12,29
2019-01,11
2019-02,12
2019-03,11
2019-04,10
2019-05,10
2019-06,10
2019-07,10
2019-08,9
2019-09,13
2019-10,10
2019-11,17
2019-12,16
2020-01,18
2020-02,21
2020-03,21
2020-04,18
2020-05,17
2020-06,14
2020-07,15
2020-08,16
2020-09,14
2020-10,24
2020-11,31
2020-12,26
2021-01,31
2021-02,32
2021-03,21
2021-04,19
2021-05,24
2021-06,41
2021-07,30
2021-08,31
2021-09,31
2021-10,43
2021-11,35
2021-12,35
2022-01,36
2022-02,40
2022-03,35
2022-04,33
2022-05,30
2022-06,28
2022-07,23
2022-08,18
2022-09,20
2022-10,23
2022-11,23
2022-12,26
2023-01,20
2023-02,27
2023-03,24
2023-04,18
2023-05,31
2023-06,43
2023-07,16
2023-08,16
2023-09,15
2023-10,17
2023-11,33
2023-12,47
2024-01,18
2024-02,19
2024-03,17
2024-04,18
2024-05,15
2024-06,14
2024-07,12
2024-08,13
2024-09,14
2024-10,14
2024-11,16
2024-12,19
2025-01,17
2025-02,20
2025-03,18
2025-04,16
2025-05,16
2025-06,15
2025-07,13
2025-08,15
2025-09,15
2025-10,14
2025-11,16
2025-12,20
2026-01,19
2026-02,28
2026-03,24
2026-04,19
2026-05,17
2026-06,17
