Category: All categories

Month,Pistachio: (Singapore)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,44
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,16
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,13
2008-05,0
2008-06,0
2008-07,12
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,10
2009-09,12
2009-10,0
2009-11,10
2009-12,12
2010-01,13
2010-02,13
2010-03,11
2010-04,7
2010-05,10
2010-06,8
2010-07,0
2010-08,9
2010-09,13
2010-10,0
2010-11,14
2010-12,9
2011-01,13
2011-02,10
2011-03,9
2011-04,9
2011-05,12
2011-06,14
2011-07,13
2011-08,10
2011-09,13
2011-10,8
2011-11,12
2011-12,14
2012-01,16
2012-02,14
2012-03,12
2012-04,15
2012-05,12
2012-06,17
2012-07,17
2012-08,13
2012-09,15
2012-10,12
2012-11,11
2012-12,11
2013-01,17
2013-02,24
2013-03,18
2013-04,15
2013-05,12
2013-06,14
2013-07,17
2013-08,15
2013-09,16
2013-10,14
2013-11,15
2013-12,15
2014-01,25
2014-02,18
2014-03,16
2014-04,17
2014-05,20
2014-06,20
2014-07,20
2014-08,14
2014-09,15
2014-10,20
2014-11,19
2014-12,19
2015-01,19
2015-02,22
2015-03,15
2015-04,20
2015-05,15
2015-06,16
2015-07,14
2015-08,11
2015-09,15
2015-10,17
2015-11,19
2015-12,21
2016-01,24
2016-02,21
2016-03,16
2016-04,19
2016-05,19
2016-06,21
2016-07,15
2016-08,17
2016-09,14
2016-10,16
2016-11,19
2016-12,20
2017-01,25
2017-02,25
2017-03,20
2017-04,18
2017-05,23
2017-06,21
2017-07,17
2017-08,20
2017-09,19
2017-10,18
2017-11,18
2017-12,25
2018-01,27
2018-02,32
2018-03,22
2018-04,24
2018-05,25
2018-06,26
2018-07,19
2018-08,21
2018-09,21
2018-10,20
2018-11,20
2018-12,23
2019-01,24
2019-02,33
2019-03,19
2019-04,21
2019-05,21
2019-06,20
2019-07,24
2019-08,26
2019-09,22
2019-10,22
2019-11,23
2019-12,26
2020-01,31
2020-02,24
2020-03,26
2020-04,25
2020-05,32
2020-06,36
2020-07,32
2020-08,30
2020-09,30
2020-10,31
2020-11,30
2020-12,40
2021-01,38
2021-02,42
2021-03,38
2021-04,29
2021-05,29
2021-06,33
2021-07,24
2021-08,32
2021-09,27
2021-10,30
2021-11,27
2021-12,30
2022-01,37
2022-02,36
2022-03,33
2022-04,29
2022-05,26
2022-06,27
2022-07,28
2022-08,28
2022-09,29
2022-10,27
2022-11,27
2022-12,38
2023-01,40
2023-02,39
2023-03,38
2023-04,35
2023-05,33
2023-06,38
2023-07,34
2023-08,36
2023-09,32
2023-10,38
2023-11,40
2023-12,45
2024-01,49
2024-02,43
2024-03,42
2024-04,46
2024-05,49
2024-06,54
2024-07,61
2024-08,64
2024-09,59
2024-10,59
2024-11,55
2024-12,73
2025-01,74
2025-02,74
2025-03,86
2025-04,77
2025-05,73
2025-06,85
2025-07,74
2025-08,65
2025-09,70
2025-10,66
2025-11,70
2025-12,83
2026-01,85
2026-02,83
2026-03,89
2026-04,87
2026-05,97
2026-06,100
