Category: All categories

Month,Pistachio: (United Arab Emirates)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,11
2008-05,0
2008-06,0
2008-07,0
2008-08,15
2008-09,14
2008-10,0
2008-11,10
2008-12,0
2009-01,12
2009-02,8
2009-03,8
2009-04,9
2009-05,8
2009-06,9
2009-07,10
2009-08,15
2009-09,20
2009-10,14
2009-11,18
2009-12,15
2010-01,10
2010-02,10
2010-03,11
2010-04,11
2010-05,11
2010-06,11
2010-07,13
2010-08,22
2010-09,17
2010-10,11
2010-11,14
2010-12,15
2011-01,11
2011-02,9
2011-03,16
2011-04,13
2011-05,14
2011-06,10
2011-07,16
2011-08,27
2011-09,16
2011-10,17
2011-11,16
2011-12,18
2012-01,17
2012-02,17
2012-03,18
2012-04,17
2012-05,16
2012-06,14
2012-07,25
2012-08,28
2012-09,21
2012-10,18
2012-11,18
2012-12,14
2013-01,17
2013-02,20
2013-03,24
2013-04,19
2013-05,18
2013-06,20
2013-07,36
2013-08,24
2013-09,22
2013-10,26
2013-11,22
2013-12,20
2014-01,24
2014-02,27
2014-03,25
2014-04,20
2014-05,20
2014-06,24
2014-07,36
2014-08,23
2014-09,23
2014-10,26
2014-11,22
2014-12,23
2015-01,24
2015-02,24
2015-03,23
2015-04,26
2015-05,26
2015-06,33
2015-07,32
2015-08,26
2015-09,29
2015-10,24
2015-11,24
2015-12,25
2016-01,26
2016-02,27
2016-03,26
2016-04,26
2016-05,29
2016-06,44
2016-07,36
2016-08,28
2016-09,31
2016-10,27
2016-11,30
2016-12,28
2017-01,32
2017-02,31
2017-03,29
2017-04,31
2017-05,37
2017-06,45
2017-07,31
2017-08,33
2017-09,33
2017-10,33
2017-11,32
2017-12,34
2018-01,32
2018-02,33
2018-03,35
2018-04,36
2018-05,43
2018-06,41
2018-07,34
2018-08,42
2018-09,36
2018-10,34
2018-11,35
2018-12,33
2019-01,32
2019-02,34
2019-03,35
2019-04,33
2019-05,47
2019-06,34
2019-07,35
2019-08,35
2019-09,34
2019-10,34
2019-11,37
2019-12,37
2020-01,33
2020-02,36
2020-03,31
2020-04,37
2020-05,53
2020-06,38
2020-07,44
2020-08,45
2020-09,43
2020-10,39
2020-11,36
2020-12,41
2021-01,41
2021-02,38
2021-03,41
2021-04,43
2021-05,44
2021-06,37
2021-07,39
2021-08,38
2021-09,36
2021-10,33
2021-11,32
2021-12,37
2022-01,38
2022-02,38
2022-03,35
2022-04,49
2022-05,33
2022-06,33
2022-07,37
2022-08,39
2022-09,40
2022-10,35
2022-11,33
2022-12,34
2023-01,38
2023-02,38
2023-03,47
2023-04,48
2023-05,40
2023-06,40
2023-07,43
2023-08,40
2023-09,38
2023-10,40
2023-11,36
2023-12,46
2024-01,46
2024-02,41
2024-03,53
2024-04,50
2024-05,67
2024-06,63
2024-07,90
2024-08,89
2024-09,92
2024-10,83
2024-11,90
2024-12,89
2025-01,87
2025-02,85
2025-03,100
2025-04,77
2025-05,70
2025-06,74
2025-07,66
2025-08,68
2025-09,58
2025-10,62
2025-11,65
2025-12,65
2026-01,65
2026-02,71
2026-03,61
2026-04,52
2026-05,55
2026-06,49
