Category: All categories

Month,Pistachio: (United Kingdom)
2004-01,4
2004-02,3
2004-03,3
2004-04,5
2004-05,4
2004-06,5
2004-07,3
2004-08,4
2004-09,3
2004-10,4
2004-11,5
2004-12,4
2005-01,4
2005-02,5
2005-03,5
2005-04,4
2005-05,4
2005-06,3
2005-07,5
2005-08,5
2005-09,5
2005-10,4
2005-11,4
2005-12,4
2006-01,4
2006-02,4
2006-03,5
2006-04,4
2006-05,4
2006-06,4
2006-07,5
2006-08,4
2006-09,4
2006-10,4
2006-11,5
2006-12,6
2007-01,4
2007-02,4
2007-03,6
2007-04,4
2007-05,6
2007-06,5
2007-07,6
2007-08,7
2007-09,6
2007-10,5
2007-11,6
2007-12,8
2008-01,7
2008-02,6
2008-03,7
2008-04,7
2008-05,7
2008-06,7
2008-07,6
2008-08,6
2008-09,7
2008-10,7
2008-11,8
2008-12,9
2009-01,7
2009-02,8
2009-03,8
2009-04,8
2009-05,8
2009-06,7
2009-07,8
2009-08,8
2009-09,8
2009-10,9
2009-11,8
2009-12,10
2010-01,9
2010-02,9
2010-03,8
2010-04,9
2010-05,10
2010-06,9
2010-07,10
2010-08,10
2010-09,9
2010-10,9
2010-11,9
2010-12,11
2011-01,6
2011-02,7
2011-03,6
2011-04,7
2011-05,6
2011-06,7
2011-07,7
2011-08,7
2011-09,7
2011-10,7
2011-11,8
2011-12,12
2012-01,8
2012-02,8
2012-03,8
2012-04,8
2012-05,7
2012-06,8
2012-07,8
2012-08,9
2012-09,8
2012-10,10
2012-11,9
2012-12,12
2013-01,9
2013-02,10
2013-03,11
2013-04,9
2013-05,9
2013-06,9
2013-07,9
2013-08,10
2013-09,8
2013-10,10
2013-11,10
2013-12,15
2014-01,11
2014-02,10
2014-03,11
2014-04,11
2014-05,12
2014-06,11
2014-07,12
2014-08,12
2014-09,10
2014-10,11
2014-11,10
2014-12,14
2015-01,12
2015-02,12
2015-03,12
2015-04,12
2015-05,13
2015-06,12
2015-07,12
2015-08,13
2015-09,11
2015-10,11
2015-11,11
2015-12,14
2016-01,13
2016-02,13
2016-03,14
2016-04,13
2016-05,13
2016-06,12
2016-07,12
2016-08,12
2016-09,13
2016-10,13
2016-11,13
2016-12,18
2017-01,14
2017-02,15
2017-03,15
2017-04,16
2017-05,15
2017-06,14
2017-07,14
2017-08,14
2017-09,15
2017-10,14
2017-11,15
2017-12,17
2018-01,15
2018-02,14
2018-03,15
2018-04,15
2018-05,14
2018-06,15
2018-07,14
2018-08,14
2018-09,15
2018-10,14
2018-11,14
2018-12,17
2019-01,15
2019-02,15
2019-03,16
2019-04,15
2019-05,15
2019-06,15
2019-07,15
2019-08,16
2019-09,15
2019-10,15
2019-11,15
2019-12,18
2020-01,16
2020-02,16
2020-03,13
2020-04,19
2020-05,22
2020-06,18
2020-07,18
2020-08,16
2020-09,16
2020-10,16
2020-11,18
2020-12,19
2021-01,18
2021-02,20
2021-03,20
2021-04,19
2021-05,18
2021-06,16
2021-07,17
2021-08,16
2021-09,16
2021-10,16
2021-11,17
2021-12,19
2022-01,19
2022-02,20
2022-03,18
2022-04,21
2022-05,19
2022-06,19
2022-07,19
2022-08,20
2022-09,19
2022-10,20
2022-11,19
2022-12,23
2023-01,20
2023-02,21
2023-03,26
2023-04,29
2023-05,26
2023-06,24
2023-07,27
2023-08,27
2023-09,26
2023-10,25
2023-11,28
2023-12,36
2024-01,29
2024-02,36
2024-03,49
2024-04,43
2024-05,53
2024-06,59
2024-07,55
2024-08,55
2024-09,49
2024-10,50
2024-11,55
2024-12,65
2025-01,64
2025-02,90
2025-03,100
2025-04,94
2025-05,68
2025-06,61
2025-07,56
2025-08,54
2025-09,48
2025-10,50
2025-11,49
2025-12,58
2026-01,51
2026-02,50
2026-03,58
2026-04,54
2026-05,48
2026-06,44
