Category: All categories

Month,Pistachio: (United States)
2004-01,13
2004-02,14
2004-03,15
2004-04,13
2004-05,12
2004-06,13
2004-07,13
2004-08,12
2004-09,11
2004-10,12
2004-11,18
2004-12,21
2005-01,15
2005-02,13
2005-03,15
2005-04,11
2005-05,12
2005-06,12
2005-07,13
2005-08,12
2005-09,11
2005-10,11
2005-11,15
2005-12,18
2006-01,13
2006-02,12
2006-03,13
2006-04,13
2006-05,12
2006-06,11
2006-07,12
2006-08,11
2006-09,11
2006-10,10
2006-11,14
2006-12,18
2007-01,12
2007-02,14
2007-03,15
2007-04,14
2007-05,13
2007-06,13
2007-07,14
2007-08,13
2007-09,12
2007-10,15
2007-11,17
2007-12,23
2008-01,16
2008-02,14
2008-03,19
2008-04,14
2008-05,15
2008-06,15
2008-07,15
2008-08,14
2008-09,14
2008-10,15
2008-11,19
2008-12,24
2009-01,17
2009-02,18
2009-03,33
2009-04,43
2009-05,18
2009-06,18
2009-07,17
2009-08,16
2009-09,17
2009-10,22
2009-11,26
2009-12,29
2010-01,22
2010-02,21
2010-03,22
2010-04,20
2010-05,21
2010-06,19
2010-07,18
2010-08,17
2010-09,17
2010-10,18
2010-11,24
2010-12,32
2011-01,21
2011-02,21
2011-03,22
2011-04,19
2011-05,18
2011-06,22
2011-07,19
2011-08,18
2011-09,20
2011-10,26
2011-11,30
2011-12,36
2012-01,28
2012-02,27
2012-03,27
2012-04,28
2012-05,27
2012-06,25
2012-07,25
2012-08,23
2012-09,23
2012-10,25
2012-11,30
2012-12,36
2013-01,29
2013-02,37
2013-03,35
2013-04,28
2013-05,26
2013-06,27
2013-07,27
2013-08,24
2013-09,25
2013-10,22
2013-11,31
2013-12,36
2014-01,28
2014-02,33
2014-03,31
2014-04,29
2014-05,27
2014-06,28
2014-07,26
2014-08,24
2014-09,23
2014-10,22
2014-11,31
2014-12,35
2015-01,28
2015-02,25
2015-03,29
2015-04,27
2015-05,25
2015-06,25
2015-07,24
2015-08,23
2015-09,21
2015-10,23
2015-11,28
2015-12,32
2016-01,26
2016-02,26
2016-03,41
2016-04,25
2016-05,24
2016-06,24
2016-07,24
2016-08,23
2016-09,21
2016-10,22
2016-11,32
2016-12,38
2017-01,32
2017-02,32
2017-03,39
2017-04,35
2017-05,34
2017-06,32
2017-07,33
2017-08,29
2017-09,27
2017-10,27
2017-11,34
2017-12,42
2018-01,37
2018-02,33
2018-03,41
2018-04,35
2018-05,32
2018-06,35
2018-07,34
2018-08,31
2018-09,28
2018-10,27
2018-11,39
2018-12,45
2019-01,38
2019-02,33
2019-03,39
2019-04,35
2019-05,32
2019-06,34
2019-07,34
2019-08,35
2019-09,30
2019-10,30
2019-11,45
2019-12,45
2020-01,41
2020-02,36
2020-03,32
2020-04,35
2020-05,36
2020-06,35
2020-07,33
2020-08,33
2020-09,30
2020-10,34
2020-11,37
2020-12,46
2021-01,49
2021-02,41
2021-03,44
2021-04,40
2021-05,38
2021-06,38
2021-07,35
2021-08,33
2021-09,30
2021-10,32
2021-11,40
2021-12,45
2022-01,50
2022-02,49
2022-03,49
2022-04,43
2022-05,39
2022-06,40
2022-07,44
2022-08,39
2022-09,36
2022-10,37
2022-11,47
2022-12,52
2023-01,53
2023-02,51
2023-03,55
2023-04,51
2023-05,45
2023-06,47
2023-07,45
2023-08,42
2023-09,40
2023-10,41
2023-11,51
2023-12,59
2024-01,58
2024-02,55
2024-03,61
2024-04,54
2024-05,59
2024-06,62
2024-07,67
2024-08,63
2024-09,55
2024-10,54
2024-11,62
2024-12,78
2025-01,77
2025-02,87
2025-03,100
2025-04,87
2025-05,74
2025-06,76
2025-07,84
2025-08,72
2025-09,67
2025-10,61
2025-11,78
2025-12,89
2026-01,87
2026-02,85
2026-03,84
2026-04,75
2026-05,72
2026-06,66
