Category: All categories

Country,Dubai chocolate: (23/06/2021 - 23/06/2026)
Greenland,
United Arab Emirates,100
Gibraltar,
Czechia,63
Germany,62
Austria,62
Faroe Islands,
Slovakia,61
Portugal,61
Taiwan,59
Liechtenstein,
Switzerland,54
Denmark,52
Australia,50
Norway,49
New Zealand,47
American Samoa,
United States,39
Ireland,38
New Caledonia,
French Polynesia,
Luxembourg,
Northern Mariana Islands,
Moldova,
Jersey,
Puerto Rico,31
United Kingdom,31
Canada,31
Chile,31
Seychelles,
Maldives,
Malta,
Réunion,
Guam,
Guernsey,
Israel,27
Iceland,
Qatar,
Guyana,
Japan,24
Cyprus,
Singapore,24
Russia,22
Armenia,
Belgium,22
Greece,22
Slovenia,
France,21
Ukraine,21
Spain,20
Finland,20
Mongolia,
Bahrain,
Macao,
Aruba,
Fiji,
Isle of Man,
Belarus,18
Andorra,
Romania,17
Poland,17
Kazakhstan,17
Brunei,
Netherlands,16
Mauritius,
Kyrgyzstan,
Sweden,15
Serbia,15
Latvia,
Hong Kong,15
St Helena,
Turkmenistan,
Oman,
Cayman Islands,
Suriname,
Saudi Arabia,14
Tunisia,
Lebanon,
Kuwait,
Philippines,14
Curaçao,
Trinidad & Tobago,
Uruguay,
Estonia,
Madagascar,
South Africa,13
Argentina,13
Yemen,
Hungary,12
Tajikistan,
Bhutan,
Bulgaria,12
US Virgin Islands,
Palestine,
Djibouti,
Kosovo,
Albania,
Algeria,11
Croatia,
Libya,
Jordan,
South Korea,11
Montenegro,
Bahamas,
Bosnia & Herzegovina,
Martinique,
St Barthélemy,
Barbados,
Guadeloupe,
North Macedonia,
Uzbekistan,
Mexico,9
Lithuania,
Italy,9
Azerbaijan,
Morocco,9
Georgia,
Türkiye,9
Belize,
Paraguay,
Syria,
Sri Lanka,
Mauritania,
Panama,
Malaysia,7
Costa Rica,
Dominican Republic,
Somalia,
Egypt,6
Mozambique,
China,
Myanmar (Burma),
Pakistan,5
Senegal,
Indonesia,4
Cambodia,
Jamaica,
Afghanistan,
Angola,
Guatemala,
Iraq,
Venezuela,
Kenya,
Namibia,
El Salvador,
Honduras,
Peru,3
Papua New Guinea,
Nepal,
Ecuador,
Ethiopia,
Zimbabwe,
Guinea,
Colombia,3
Malawi,
Uganda,
Rwanda,
Sudan,
Nicaragua,
Thailand,3
Cuba,
Laos,
Zambia,
Tanzania,
Ghana,
Botswana,
Gabon,
Brazil,2
India,2
Bolivia,
Bangladesh,
Côte d’Ivoire,
Mali,
Nigeria,
Benin,
Cameroon,
Vietnam,1
Congo - Kinshasa,
Haiti,
Iran,
Congo - Brazzaville,
Monaco,
Falkland Islands (Islas Malvinas),
Micronesia,
Western Sahara,
Eritrea,
Marshall Islands,
Dominica,
Christmas Island,
Palau,
St Kitts & Nevis,
Cape Verde,
Pitcairn Islands,
Comoros,
St Lucia,
South Georgia & South Sandwich Islands,
Cook Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Lesotho,
San Marino,
Kiribati,
St Pierre & Miquelon,
Gambia,
South Sudan,
São Tomé & Príncipe,
Guinea-Bissau,
Equatorial Guinea,
Cocos (Keeling) Islands,
Central African Republic,
Eswatini,
Sint Maarten,
Nauru,
Bouvet Island,
Turks & Caicos Islands,
Chad,
Togo,
Grenada,
British Indian Ocean Territory,
Tokelau,
Niue,
Timor-Leste,
Tonga,
Bermuda,
Norfolk Island,
Burkina Faso,
Tuvalu,
Caribbean Netherlands,
Niger,
French Guiana,
Mayotte,
US Outlying Islands,
Burundi,
Antigua & Barbuda,
French Southern Territories,
Vatican City,
St Vincent & the Grenadines,
St Martin,
British Virgin Islands,
Antarctica,
Heard & McDonald Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Åland Islands,
Anguilla,
Liberia,
Montserrat,
North Korea,
