Category: All categories

Country,Dubai chocolate: (01/01/2004 - 22/06/2026)
Greenland,
United Arab Emirates,100
Gibraltar,
Czechia,59
Taiwan,59
Faroe Islands,
Slovakia,51
Portugal,51
Germany,48
American Samoa,
Austria,45
Norway,43
New Zealand,43
Australia,42
Switzerland,42
Denmark,40
Liechtenstein,
Maldives,
Seychelles,
United States,32
Guyana,
Ireland,31
Moldova,
Northern Mariana Islands,
Luxembourg,
Chile,27
Puerto Rico,26
French Polynesia,
Canada,25
Jersey,
Israel,25
Qatar,
United Kingdom,23
Iceland,
Cyprus,
Turkmenistan,
Japan,21
Guernsey,
Armenia,
Mongolia,
Åland Islands,
Russia,20
Guam,
New Caledonia,
Singapore,20
St Helena,
Greece,19
Malta,
Kyrgyzstan,
Fiji,
Ukraine,18
Bahrain,
Réunion,
US Virgin Islands,
Belarus,17
Philippines,17
Spain,17
Belgium,17
Slovenia,
Sint Maarten,
France,17
Kazakhstan,16
St Barthélemy,
Finland,15
Isle of Man,
Poland,15
Bhutan,
Hong Kong,15
Macao,
Tajikistan,
Mauritius,
Oman,
Uzbekistan,
Andorra,
Romania,14
Saudi Arabia,14
Djibouti,
South Africa,14
Serbia,13
Brunei,
Palestine,
Lebanon,
Tunisia,
Aruba,
Latvia,
Madagascar,
Trinidad & Tobago,
Sweden,12
Libya,
South Korea,12
Suriname,
Netherlands,12
Uruguay,
Yemen,
Cayman Islands,
Estonia,
Kuwait,
Curaçao,
Mauritania,
Montenegro,
Algeria,10
Argentina,10
Bahamas,
Cape Verde,
Jordan,
Kosovo,
Syria,
Albania,
Barbados,
Georgia,
Timor-Leste,
Bulgaria,9
Hungary,9
Somalia,
Azerbaijan,
Paraguay,
Croatia,
Mexico,9
Sri Lanka,
Bosnia & Herzegovina,
Morocco,8
North Macedonia,
Antigua & Barbuda,
Italy,7
Lithuania,
Türkiye,7
Martinique,
Myanmar (Burma),
Dominican Republic,
Panama,
Belize,
Malaysia,6
Mozambique,
Papua New Guinea,
Cambodia,
Costa Rica,
Pakistan,6
Egypt,6
Guadeloupe,
Senegal,
Angola,
Nepal,
Indonesia,5
Afghanistan,
Kenya,
Namibia,
Guatemala,
Iraq,
Malawi,
Ethiopia,
Uganda,
El Salvador,
Honduras,
Jamaica,
Cuba,
Sierra Leone,
Zimbabwe,
Botswana,
Gabon,
Zambia,
Ecuador,
Peru,3
Rwanda,
Laos,
Colombia,3
Ghana,
Nicaragua,
Venezuela,
Tanzania,
Bangladesh,
Thailand,2
Côte d’Ivoire,
India,2
Haiti,
Congo - Kinshasa,
Sudan,
Benin,
Nigeria,
Bolivia,
Brazil,1
Cameroon,
Vietnam,1
Iran,
China,
South Georgia & South Sandwich Islands,
Monaco,
Micronesia,
Western Sahara,
Eritrea,
North Korea,
Guinea,
Dominica,
Gambia,
Christmas Island,
Guinea-Bissau,
Palau,
Comoros,
Svalbard & Jan Mayen,
Solomon Islands,
Equatorial Guinea,
Pitcairn Islands,
San Marino,
Grenada,
St Pierre & Miquelon,
Cook Islands,
South Sudan,
São Tomé & Príncipe,
Congo - Brazzaville,
French Guiana,
Heard & McDonald Islands,
Nauru,
Eswatini,
Niue,
Cocos (Keeling) Islands,
Central African Republic,
Turks & Caicos Islands,
Chad,
Togo,
Norfolk Island,
Niger,
Tokelau,
Bouvet Island,
Mayotte,
Tonga,
British Indian Ocean Territory,
Bermuda,
Montserrat,
Tuvalu,
Burkina Faso,
Kiribati,
St Kitts & Nevis,
Caribbean Netherlands,
US Outlying Islands,
St Lucia,
Burundi,
French Southern Territories,
Vatican City,
St Vincent & the Grenadines,
Mali,
British Virgin Islands,
Antarctica,
Lesotho,
Vanuatu,
Wallis & Futuna,
Samoa,
Anguilla,
Marshall Islands,
Liberia,
St Martin,
Falkland Islands (Islas Malvinas),
