Category: All categories

Country,Knafeh: (01/01/2004 - 23/06/2026)
Jordan,100
Egypt,91
Palestine,79
Saudi Arabia,70
Kuwait,68
Lebanon,64
Oman,64
Libya,63
United Arab Emirates,51
Qatar,47
Yemen,44
Syria,44
Bahrain,43
Israel,41
Sudan,39
Türkiye,28
Iraq,28
Bosnia & Herzegovina,16
Brunei,
Tunisia,15
Cyprus,13
Bulgaria,12
Eritrea,
Western Sahara,
Azerbaijan,12
Maldives,
Malaysia,11
Algeria,10
Morocco,9
Singapore,9
North Macedonia,
Albania,
Iran,7
Greece,7
Pakistan,6
Mauritania,
Montenegro,
Kosovo,
Djibouti,
Sweden,5
Australia,5
Romania,5
Mauritius,
Seychelles,
Equatorial Guinea,
Somalia,
Germany,4
Turkmenistan,
Canada,4
Central African Republic,
India,4
Serbia,3
St Helena,
Austria,3
Netherlands,3
Sri Lanka,
Malta,
Armenia,
Grenada,
United Kingdom,2
Belgium,2
Denmark,2
Norway,2
Luxembourg,
Croatia,2
Liberia,
Georgia,
Gibraltar,
Philippines,2
Switzerland,2
Bangladesh,2
New Zealand,2
France,2
Afghanistan,
Chad,
South Sudan,
Niger,
Nepal,
Indonesia,2
United States,1
Åland Islands,
Monaco,
Gambia,
Ireland,1
Uzbekistan,
Suriname,
Slovenia,
Tajikistan,
Kyrgyzstan,
Moldova,
Côte d’Ivoire,
Antigua & Barbuda,
Gabon,
Sierra Leone,
Senegal,
Tanzania,
US Virgin Islands,
Fiji,
Guam,
South Africa,1
Togo,
Guinea,
Iceland,
Guadeloupe,
Malawi,
Kenya,
Hungary,1
Ethiopia,
Mali,
Jersey,
Curaçao,
Estonia,
Kazakhstan,
Congo - Brazzaville,
Benin,
Trinidad & Tobago,
Czechia,
Liechtenstein,
Russia,1
Bermuda,
Isle of Man,
Latvia,
Finland,
Congo - Kinshasa,
Panama,
Burkina Faso,
Ukraine,<1
Hong Kong,
Martinique,
Puerto Rico,
Madagascar,
Belize,
Cambodia,
Botswana,
Cayman Islands,
Eswatini,
Lithuania,
South Korea,<1
Réunion,
Slovakia,
Spain,<1
Cape Verde,
Guyana,
Ghana,
Andorra,
Mozambique,
Portugal,
Mongolia,
Zambia,
Angola,
Bahamas,
Poland,<1
Italy,<1
Laos,
Belarus,
Barbados,
Cameroon,
French Guiana,
Bhutan,
Guernsey,
Aruba,
New Caledonia,
Rwanda,
Uganda,
Macao,
Honduras,
Nigeria,
French Polynesia,
Costa Rica,
Namibia,
Venezuela,
Myanmar (Burma),
Haiti,
Chile,
Dominican Republic,
Zimbabwe,
Guatemala,
Uruguay,
Paraguay,
Jamaica,
Taiwan,
Japan,<1
Papua New Guinea,
Thailand,
Cuba,
Mexico,<1
Argentina,
Ecuador,
Brazil,<1
Colombia,
El Salvador,
Nicaragua,
Vietnam,
China,
Peru,
Bolivia,
Cocos (Keeling) Islands,
Christmas Island,
Solomon Islands,
St Kitts & Nevis,
Dominica,
San Marino,
South Georgia & South Sandwich Islands,
St Pierre & Miquelon,
Niue,
Comoros,
São Tomé & Príncipe,
Kiribati,
Cook Islands,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Norfolk Island,
Sint Maarten,
Micronesia,
Bouvet Island,
Turks & Caicos Islands,
Mayotte,
St Lucia,
Nauru,
Guinea-Bissau,
Tokelau,
Greenland,
Timor-Leste,
Tonga,
Lesotho,
St Barthélemy,
St Martin,
Tuvalu,
British Indian Ocean Territory,
Caribbean Netherlands,
Montserrat,
Burundi,
US Outlying Islands,
North Korea,
French Southern Territories,
Antarctica,
Vatican City,
St Vincent & the Grenadines,
Heard & McDonald Islands,
British Virgin Islands,
American Samoa,
Pitcairn Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Palau,
Anguilla,
Marshall Islands,
Northern Mariana Islands,
Svalbard & Jan Mayen,
