Category: All categories

Month,Dubai chocolate: (Worldwide),Pistachio: (Worldwide),Pistachios: (Worldwide)
2004-01,0,17,1
2004-02,0,16,0
2004-03,0,17,0
2004-04,0,16,0
2004-05,0,16,<1
2004-06,0,15,<1
2004-07,0,16,<1
2004-08,0,16,0
2004-09,0,18,<1
2004-10,0,16,<1
2004-11,0,19,<1
2004-12,0,22,<1
2005-01,0,17,<1
2005-02,0,18,<1
2005-03,0,18,<1
2005-04,0,17,<1
2005-05,0,17,<1
2005-06,0,15,<1
2005-07,0,16,1
2005-08,0,16,<1
2005-09,0,17,<1
2005-10,0,18,<1
2005-11,0,19,<1
2005-12,0,21,<1
2006-01,0,17,<1
2006-02,0,17,<1
2006-03,0,17,<1
2006-04,0,17,<1
2006-05,0,17,<1
2006-06,0,16,<1
2006-07,0,17,<1
2006-08,0,15,<1
2006-09,0,17,<1
2006-10,0,17,<1
2006-11,0,17,<1
2006-12,0,20,1
2007-01,0,16,1
2007-02,0,17,<1
2007-03,0,17,<1
2007-04,0,16,1
2007-05,0,18,1
2007-06,0,18,1
2007-07,0,19,1
2007-08,0,18,1
2007-09,0,22,1
2007-10,0,23,1
2007-11,0,24,1
2007-12,0,29,1
2008-01,0,26,1
2008-02,0,24,1
2008-03,0,25,1
2008-04,0,25,1
2008-05,0,25,1
2008-06,0,24,1
2008-07,0,22,1
2008-08,0,22,1
2008-09,0,24,1
2008-10,0,22,1
2008-11,0,23,1
2008-12,0,27,1
2009-01,0,24,1
2009-02,0,24,1
2009-03,0,29,1
2009-04,0,33,1
2009-05,0,25,1
2009-06,0,22,1
2009-07,0,23,1
2009-08,0,24,1
2009-09,0,26,1
2009-10,0,25,1
2009-11,0,28,1
2009-12,0,31,1
2010-01,0,27,1
2010-02,0,26,1
2010-03,0,25,1
2010-04,0,25,1
2010-05,0,25,1
2010-06,0,23,1
2010-07,0,23,1
2010-08,0,23,1
2010-09,0,24,1
2010-10,0,25,1
2010-11,0,29,1
2010-12,0,33,1
2011-01,0,27,1
2011-02,0,26,1
2011-03,0,27,1
2011-04,0,28,1
2011-05,0,26,1
2011-06,0,27,1
2011-07,0,27,1
2011-08,0,26,1
2011-09,0,27,1
2011-10,0,30,1
2011-11,0,32,1
2011-12,0,38,1
2012-01,0,31,1
2012-02,0,28,1
2012-03,0,29,1
2012-04,0,30,1
2012-05,0,28,1
2012-06,0,28,1
2012-07,0,27,1
2012-08,0,28,1
2012-09,0,29,1
2012-10,0,31,1
2012-11,0,31,1
2012-12,0,37,2
2013-01,0,30,1
2013-02,0,33,1
2013-03,0,34,1
2013-04,0,30,1
2013-05,0,31,1
2013-06,0,30,1
2013-07,0,30,1
2013-08,0,28,1
2013-09,0,30,1
2013-10,0,28,1
2013-11,0,33,1
2013-12,0,40,2
2014-01,0,33,1
2014-02,0,34,1
2014-03,0,34,1
2014-04,0,32,1
2014-05,0,33,1
2014-06,0,31,1
2014-07,0,32,1
2014-08,0,32,1
2014-09,0,34,1
2014-10,0,33,1
