Category: All categories

Month,Knafeh: (Worldwide)
2004-01,1
2004-02,1
2004-03,0
2004-04,2
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,2
2004-10,4
2004-11,2
2004-12,1
2005-01,1
2005-02,2
2005-03,1
2005-04,2
2005-05,2
2005-06,1
2005-07,1
2005-08,2
2005-09,2
2005-10,7
2005-11,3
2005-12,2
2006-01,2
2006-02,2
2006-03,3
2006-04,2
2006-05,2
2006-06,2
2006-07,2
2006-08,2
2006-09,5
2006-10,7
2006-11,3
2006-12,3
2007-01,2
2007-02,2
2007-03,3
2007-04,3
2007-05,2
2007-06,3
2007-07,3
2007-08,3
2007-09,10
2007-10,6
2007-11,3
2007-12,4
2008-01,3
2008-02,4
2008-03,5
2008-04,4
2008-05,4
2008-06,4
2008-07,4
2008-08,6
2008-09,17
2008-10,5
2008-11,4
2008-12,5
2009-01,7
2009-02,7
2009-03,5
2009-04,6
2009-05,6
2009-06,5
2009-07,8
2009-08,18
2009-09,15
2009-10,5
2009-11,6
2009-12,7
2010-01,8
2010-02,6
2010-03,6
2010-04,6
2010-05,6
2010-06,6
2010-07,7
2010-08,25
2010-09,9
2010-10,7
2010-11,7
2010-12,7
2011-01,8
2011-02,7
2011-03,8
2011-04,8
2011-05,8
2011-06,7
2011-07,10
2011-08,33
2011-09,7
2011-10,8
2011-11,8
2011-12,8
2012-01,8
2012-02,9
2012-03,9
2012-04,9
2012-05,8
2012-06,8
2012-07,27
2012-08,23
2012-09,9
2012-10,8
2012-11,8
2012-12,9
2013-01,9
2013-02,10
2013-03,12
2013-04,10
2013-05,10
2013-06,11
2013-07,49
2013-08,16
2013-09,10
2013-10,10
2013-11,11
2013-12,13
2014-01,14
2014-02,14
2014-03,13
2014-04,14
2014-05,14
2014-06,22
2014-07,52
2014-08,12
2014-09,12
2014-10,13
2014-11,14
2014-12,16
2015-01,16
2015-02,17
2015-03,16
2015-04,18
2015-05,18
2015-06,53
2015-07,37
2015-08,14
2015-09,15
2015-10,15
2015-11,17
2015-12,19
2016-01,20
2016-02,19
2016-03,19
2016-04,19
2016-05,22
2016-06,76
2016-07,21
2016-08,16
2016-09,16
2016-10,18
2016-11,18
2016-12,22
2017-01,23
2017-02,27
2017-03,24
2017-04,24
2017-05,40
2017-06,64
2017-07,22
2017-08,21
2017-09,20
2017-10,23
2017-11,26
2017-12,29
2018-01,30
2018-02,32
2018-03,26
2018-04,23
2018-05,55
2018-06,34
2018-07,20
2018-08,21
2018-09,20
2018-10,22
2018-11,22
2018-12,26
2019-01,26
2019-02,26
2019-03,24
2019-04,26
2019-05,63
2019-06,25
2019-07,23
2019-08,25
2019-09,24
2019-10,24
2019-11,24
2019-12,29
2020-01,29
2020-02,30
2020-03,25
2020-04,57
2020-05,66
2020-06,25
2020-07,28
2020-08,26
2020-09,26
2020-10,28
2020-11,30
2020-12,30
2021-01,32
2021-02,29
2021-03,28
2021-04,62
2021-05,35
2021-06,22
2021-07,23
2021-08,23
2021-09,25
2021-10,26
2021-11,25
2021-12,27
2022-01,30
2022-02,28
2022-03,31
2022-04,73
2022-05,27
2022-06,28
2022-07,31
2022-08,31
2022-09,29
2022-10,29
2022-11,27
2022-12,29
2023-01,28
2023-02,30
2023-03,52
2023-04,58
2023-05,27
2023-06,28
2023-07,28
2023-08,29
2023-09,32
2023-10,28
2023-11,30
2023-12,32
2024-01,30
2024-02,29
2024-03,61
2024-04,36
2024-05,38
2024-06,41
2024-07,47
2024-08,49
2024-09,49
2024-10,47
2024-11,53
2024-12,56
2025-01,55
2025-02,62
2025-03,100
2025-04,51
2025-05,47
2025-06,42
2025-07,44
2025-08,46
2025-09,39
2025-10,42
2025-11,42
2025-12,46
2026-01,52
2026-02,90
2026-03,59
2026-04,40
2026-05,42
2026-06,39
